term	tier	speaker	concept	source	review	note
как договаривались лично	H	actor	as discussed in person	curated	mt-edited	
как обсуждали при встрече	H	actor	as discussed in person	curated	mt-edited	
кодовое слово	H	actor	code word	curated	mt-edited	
то, о чем договаривались	H	actor	the thing we discussed	curated	mt-edited	
тот вопрос	H	actor	the thing we discussed	curated	mt-edited	
условное слово	H	actor	code word	curated	mt-edited	
условный знак	H	actor	code word	curated	mt-edited	
наш друг	M	actor	our friend	curated	mt-edited	
наш человек	M	actor	our friend	curated	mt-edited	
ну ты понял	M	actor	you know what i mean	curated	mt-edited	
сам знаешь кто	M	actor	you know who	curated	mt-edited	
сам понимаешь	M	actor	you know what i mean	curated	mt-edited	
ты знаешь кто	M	actor	you know who	curated	mt-edited	
ты понимаешь о чем я	M	actor	you know what i mean	curated	mt-edited	
бабки	L	actor	bread	dea-slang-2018	mt-edited	
бабло	L	actor	bread	dea-slang-2018	mt-edited	
ва-банк	L	actor	go for broke	fca-hsbc-fx	mt-edited	
вещество	L	actor	the product	curated	mt-edited	
груз	L	actor	the goods	curated	mt-edited	
закладк*	L	actor	the package	curated	mt-edited	
как всегда	L	actor	the usual	curated	mt-edited	
как договаривались	L	actor	per our conversation	curated	mt-edited	
как обычно	L	actor	the usual	curated	mt-edited	
капуста	L	actor	bread	dea-slang-2018	mt-edited	
кирпич	L	actor	brick	dea-slang-2018	mt-edited	
наш вопрос	L	actor	the thing we discussed	curated	mt-edited	
по нашей договоренности	L	actor	per our conversation	curated	mt-edited	
посылк*	L	actor	the package	curated	mt-edited	
продукт	L	actor	the product	curated	mt-edited	
товар	L	actor	the goods	curated	mt-edited	
халява	L	actor	free money	fca-hsbc-fx	mt-edited	
