term	tier	speaker	concept	source	review	note
5aliha benna	H	actor	keep this between us	curated	mt-edited	Arabizi
5aliha ser	H	actor	keep this a secret	nice-actimize-lexicon	mt-edited	Arabizi
khaleeha ser	H	actor	keep this a secret	nice-actimize-lexicon	mt-edited	Arabizi, Gulf
khaliha benna	H	actor	keep this between us	curated	mt-edited	Arabizi
khaliha ser	H	actor	keep this a secret	nice-actimize-lexicon	mt-edited	Arabizi
ma 7ada ra7 ya3ref	H	actor	nobody will find out	investigator-list	mt-edited	Arabizi, Levantine
ma7adesh hay3raf	H	actor	nobody will find out	investigator-list	mt-edited	Arabizi, Egyptian
ma7adsh hay3raf	H	actor	nobody will find out	investigator-list	mt-edited	Arabizi, Egyptian
mahadesh hay3raf	H	actor	nobody will find out	investigator-list	mt-edited	Arabizi, Egyptian
أبعد الامتثال عن الموضوع	H	actor	keep compliance out of it	curated	mt-edited	
إتلاف المستندات	H	actor	shred the documents	curated	mt-edited	
ابعته على الجيميل بتاعي	H	actor	send it to my gmail	curated	mt-edited	Egyptian
ابعثه على جيميلي	H	actor	send it to my gmail	curated	mt-edited	
اتصل على الرقم الثاني	H	actor	call me on the other phone	curated	mt-edited	
احذف بعد القراءة	H	actor	delete after reading	curated	mt-edited	
احذف هذا الإيميل	H	actor	delete this email	curated	mt-edited	
احذف هذه الرسالة	H	actor	delete this email	curated	mt-edited	
احرقها بعد القراءة	H	actor	burn after reading	curated	mt-edited	
استخدم إيميلي الشخصي	H	actor	use my personal email	curated	mt-edited	
استخدم الرقم الثاني	H	actor	use the other number	curated	mt-edited	
افرم الورق	H	actor	shred the documents	curated	mt-edited	
المدراء لا يسألون	H	actor	bosses don't ask	ey-fbi-2013	mt-edited	opportunity
المدير لا يسأل	H	actor	bosses don't ask	ey-fbi-2013	mt-edited	opportunity
امسح الإيميل ده	H	actor	delete this email	curated	mt-edited	Egyptian
امسح الرسالة	H	actor	delete this email	curated	mt-edited	
امسح السجلات	H	actor	scrub the records	curated	mt-edited	
امسح المسج	H	actor	delete this email	curated	mt-edited	Levantine and Gulf
امسح الهارد	H	actor	wipe the drive	curated	mt-edited	
امسح بعد القراءة	H	actor	delete after reading	curated	mt-edited	
بدون أي ورق	H	actor	no paper trail	curated	mt-edited	
خط تاني	H	actor	burner phone	curated	mt-edited	Egyptian, a second line
خلي الكلام ده بينا	H	actor	keep this between us	curated	mt-edited	Egyptian
خلي الموضوع سر	H	actor	keep this a secret	nice-actimize-lexicon	mt-edited	
خلي هذا بيننا	H	actor	keep this between us	curated	mt-edited	
خليه سر	H	actor	keep this a secret	nice-actimize-lexicon	mt-edited	
خليها بيننا	H	actor	keep this between us	curated	mt-edited	
خليها سر	H	actor	keep this a secret	nice-actimize-lexicon	mt-edited	
خليها في السر	H	actor	keep it quiet	curated	mt-edited	
طي الكتمان	H	actor	keep it under wraps	curated	mt-edited	
على الإيميل الشخصي	H	actor	use my personal email	curated	mt-edited	
على الرقم التاني	H	actor	use the other number	curated	mt-edited	Egyptian
فرمت الجهاز	H	actor	wipe the drive	curated	mt-edited	
كلمني عالرقم الثاني	H	actor	call me on the other phone	curated	mt-edited	Levantine
كلمني على الخط التاني	H	actor	call me on the other phone	curated	mt-edited	Egyptian
كنس تحت السجادة	H	actor	sweep it under the rug	curated	mt-edited	
لا أحد سيراجع	H	actor	no auditor will review it	ey-fbi-2013	mt-edited	opportunity
لا تترك أثرا	H	actor	don't leave a trail	investigator-list	mt-edited	
لا تتطوع بأي معلومات	H	actor	do not volunteer information	investigator-list	mt-edited	
لا تخبر الامتثال	H	actor	don't tell compliance	curated	mt-edited	
لا تخبر القانونية	H	actor	don't tell legal	curated	mt-edited	
لا تكتب هذا	H	actor	don't put it in writing	curated	mt-edited	
لا تكتبها	H	actor	don't put it in writing	curated	mt-edited	
لا توثق هذا	H	actor	don't put this in writing	curated	mt-edited	
لا داعي أن يعرف أحد	H	actor	nobody has to know	ey-fbi-2013	mt-edited	
لن يعرف أحد	H	actor	nobody will find out	investigator-list	mt-edited	
ما أحد بيدري	H	actor	nobody will find out	investigator-list	mt-edited	Gulf
ما تقولش للشؤون القانونية	H	actor	don't tell legal	curated	mt-edited	Egyptian
ما تقولش للكومبلاينس	H	actor	don't tell compliance	curated	mt-edited	Egyptian
ما تكتبش ده	H	actor	don't put it in writing	curated	mt-edited	Egyptian
ما حد رح يعرف	H	actor	nobody will find out	investigator-list	mt-edited	Levantine
محدش هيراجع	H	actor	no auditor will review it	ey-fbi-2013	mt-edited	Egyptian
محدش هيعرف	H	actor	nobody will find out	investigator-list	mt-edited	Egyptian
مش لازم حد يعرف	H	actor	nobody has to know	ey-fbi-2013	mt-edited	
من غير ما تسيب أثر	H	actor	don't leave a trail	investigator-list	mt-edited	Egyptian
من غير ورق	H	actor	no paper trail	curated	mt-edited	
نظف السجلات	H	actor	scrub the records	curated	mt-edited	
هاتف مؤقت	H	actor	burner phone	curated	mt-edited	
