term	tier	speaker	concept	source	review	note
à brûler après lecture	H	actor	burn after reading	curated	mt-edited	
à effacer après lecture	H	actor	delete after reading	curated	mt-edited	
appelle-moi sur l'autre portable	H	actor	call me on the other phone	curated	mt-edited	
appelle-moi sur l'autre téléphone	H	actor	call me on the other phone	curated	mt-edited	
aucun auditeur ne le verra	H	actor	no auditor will review it	ey-fbi-2013	mt-edited	
aucun commissaire aux comptes ne le verra	H	actor	no auditor will review it	ey-fbi-2013	mt-edited	
aucune trace écrite	H	actor	no paper trail	curated	mt-edited	
ça reste entre nous	H	actor	keep this between us	curated	mt-edited	
déchiqueter les dossiers	H	actor	shred the files	curated	mt-edited	
détruire après lecture	H	actor	burn after reading	curated	mt-edited	
détruire les documents	H	actor	shred the documents	curated	mt-edited	
dissimuler	M	accuser	cover up	investigator-list	mt-edited	
efface ce mail	H	actor	delete this email	curated	mt-edited	
effacer le disque	H	actor	wipe the drive	curated	mt-edited	
envoie-le sur mon gmail	H	actor	send it to my gmail	curated	mt-edited	
étouffement	M	accuser	coverup	curated	mt-edited	
étouffer l'affaire	H	accuser	cover up	investigator-list	mt-edited	
faire le ménage dans les dossiers	H	actor	scrub the records	curated	mt-edited	
formater le disque	H	actor	wipe the drive	curated	mt-edited	
garde ça secret	H	actor	keep this a secret	nice-actimize-lexicon	mt-edited	
garde le secret	H	actor	keep this a secret	nice-actimize-lexicon	mt-edited	
garder ça pour nous	H	actor	keep it quiet	curated	mt-edited	
garder secret	H	actor	keep it under wraps	curated	mt-edited	
garder sous le coude	H	actor	keep it under wraps	curated	mt-edited	
gardons ça secret	H	actor	let's keep this a secret	nice-actimize-lexicon	mt-edited	
glisser sous le tapis	H	actor	sweep it under the rug	curated	mt-edited	
laisse la conformité en dehors de ça	H	actor	keep compliance out of it	curated	mt-edited	
l'autre portable	H	actor	use the other phone	curated	mt-edited	
le chef ne demande rien	H	actor	bosses don't ask	ey-fbi-2013	mt-edited	
les patrons ne demandent rien	H	actor	bosses don't ask	ey-fbi-2013	mt-edited	
mettre sous le tapis	H	actor	sweep it under the rug	curated	mt-edited	
n'apparaisse dans aucun livre	H	actor	not be in any book	fsa-cftc-libor-chats	mt-edited	
ne dis rien à la conformité	H	actor	don't tell compliance	curated	mt-edited	
ne dis rien au compliance	H	actor	don't tell compliance	curated	mt-edited	
ne dis rien au juridique	H	actor	don't tell legal	curated	mt-edited	
ne donne aucune information spontanément	H	actor	do not volunteer information	investigator-list	mt-edited	
ne laisse pas de traces	H	actor	don't leave a trail	investigator-list	mt-edited	
ne laissez aucune trace	H	actor	don't leave a trail	investigator-list	mt-edited	
ne le mets pas par écrit	H	actor	don't put it in writing	curated	mt-edited	
ne mets pas ça par écrit	H	actor	don't put this in writing	curated	mt-edited	
ne pas ébruiter	H	actor	keep it quiet	curated	mt-edited	
ne préviens pas le service juridique	H	actor	don't tell legal	curated	mt-edited	
ne rien dire de toi-même	H	actor	do not volunteer information	investigator-list	mt-edited	
nettoyer les dossiers	H	actor	scrub the records	curated	mt-edited	
pas de trace écrite	H	actor	no paper trail	curated	mt-edited	
passer les documents au broyeur	H	actor	shred the documents	curated	mt-edited	
personne n'a à le savoir	H	actor	nobody has to know	ey-fbi-2013	mt-edited	
personne n'a besoin de savoir	H	actor	nobody has to know	ey-fbi-2013	mt-edited	
personne ne le saura	H	actor	nobody will find out	investigator-list	mt-edited	
personne ne s'en rendra compte	H	actor	nobody will find out	investigator-list	mt-edited	
portable jetable	H	actor	burner phone	curated	mt-edited	
portable prépayé	H	actor	pre-paid cell phone	sec-insider-trading-2026	mt-edited	
que ça reste entre nous	H	actor	keep this between us	curated	mt-edited	
rien par écrit	H	actor	don't put it in writing	curated	mt-edited	
supprime ce mail	H	actor	delete this email	curated	mt-edited	
supprimer après lecture	H	actor	delete after reading	curated	mt-edited	
supprimez cet e-mail	H	actor	delete this email	curated	mt-edited	
sur mon adresse perso	H	actor	send it to my gmail	curated	mt-edited	
téléphone jetable	H	actor	burner phone	curated	mt-edited	
téléphone prépayé	H	actor	pre-paid cell phone	sec-insider-trading-2026	mt-edited	
utilise l'autre numéro	H	actor	use the other number	curated	mt-edited	
utilise l'autre téléphone	H	actor	use the other phone	curated	mt-edited	
utilise mon adresse personnelle	H	actor	use my personal email	curated	mt-edited	
utilise mon mail perso	H	actor	use my personal email	curated	mt-edited	
adresse mail secondaire	M	actor	alternate e-mail	spamassassin-advance-fee	mt-edited	
appelle-moi sur mon portable	M	actor	call my mobile	investigator-list	mt-edited	
autre adresse e-mail	M	actor	alternate e-mail	spamassassin-advance-fee	mt-edited	
blanchir	L	accuser	whitewash	investigator-list	mt-edited	
broie-le	M	actor	shred it	curated	mt-edited	
efface ça	M	actor	delete this	curated	mt-edited	
en off	M	actor	off the record	curated	mt-edited	
enterrer l'affaire	M	actor	make it go away	curated	mt-edited	
entre nous	M	actor	between you and me	curated	mt-edited	
entre toi et moi	M	actor	between you and me	curated	mt-edited	
étouffer	M	accuser	whitewash	investigator-list	mt-edited	
faire disparaître ça	M	actor	make it go away	curated	mt-edited	
faire le ménage dans les fichiers	M	actor	clean up the files	curated	mt-edited	
la politique ne dit rien	M	actor	the policy does not say	ey-fbi-2013	mt-edited	
la procédure ne dit rien	M	actor	the policy does not say	ey-fbi-2013	mt-edited	
limiter les dégâts	M	actor	damage control	investigator-list	mt-edited	
