term	tier	speaker	concept	source	review	note
без досмотра	H	actor	no inspection	investigator-list	mt-edited	
без проверки	H	actor	no inspection	investigator-list	mt-edited	
взятк*	H	actor	backhander	curated	mt-edited	
дать ей на лапу	H	actor	grease her palm	curated	mt-edited	
дать ему на лапу	H	actor	grease his palm	curated	mt-edited	
дать им на лапу	H	actor	grease their palm	curated	mt-edited	
деньги в конверте	H	actor	cash in an envelope	curated	mt-edited	
деньги за скорость	H	actor	speed money	curated	mt-edited	
договорной тендер	H	actor	rigged tender	curated	mt-edited	
дружеские платежи	H	actor	friendly payments	investigator-list	mt-edited	
дружеский платеж	H	actor	friendly payment	investigator-list	mt-edited	
ей будет выгодно	H	actor	make it worth her while	curated	mt-edited	
ему будет выгодно	H	actor	make it worth his while	curated	mt-edited	
за скорость	H	actor	expedite fee	curated	mt-edited	
завышенная комиссия	H	actor	excessive commission	doj-sec-fcpa-guide	mt-edited	
завышенные комиссионные	H	actor	excessive commission	doj-sec-fcpa-guide	mt-edited	
заказной тендер	H	actor	rigged tender	curated	mt-edited	
закрывать глаза	H	actor	turn a blind eye	curated	mt-edited	
закрыть глаза	H	actor	look the other way	curated	mt-edited	
занести за контракт	H	actor	pay to play	curated	mt-edited	
зарплата в конверте	H	actor	cash in an envelope	curated	mt-edited	
заявка для вида	H	actor	cover bid	curated	mt-edited	
из-под полы	H	actor	under the table	curated	mt-edited	
картельный сговор на торгах	H	actor	bid rigging	curated	mt-edited	
конверт с деньгами	H	actor	brown envelope	curated	mt-edited	
на лапу	H	actor	backhander	curated	mt-edited	
наличные в конверте	H	actor	cash in an envelope	curated	mt-edited	
наш друг в министерстве	H	actor	our friend in the ministry	curated	mt-edited	
наш человек в министерстве	H	actor	our friend in the ministry	curated	mt-edited	
необоснованно большая скидка	H	actor	unreasonably large discount	doj-sec-fcpa-guide	mt-edited	
неясно описанные услуги	H	actor	vaguely described services	doj-sec-fcpa-guide	mt-edited	
он не останется в обиде	H	actor	make it worth his while	curated	mt-edited	
она не останется в обиде	H	actor	make it worth her while	curated	mt-edited	
они не останутся в обиде	H	actor	make it worth their while	curated	mt-edited	
особые сборы	H	actor	special fees	investigator-list	mt-edited	
откат	H	accuser	kickback	curated	mt-edited	
отката	H	accuser	kickback	curated	mt-edited	
откатами	H	accuser	kickbacks	sec-insider-trading-2026	mt-edited	
откатов	H	accuser	kickback	curated	mt-edited	
откатом	H	accuser	kickback	curated	mt-edited	
откату	H	accuser	kickback	curated	mt-edited	
откаты	H	accuser	kickbacks	sec-insider-trading-2026	mt-edited	
плата за ускорение	H	actor	expedite fee	curated	mt-edited	
платеж за упрощение формальностей	H	actor	facilitation payment	curated	mt-edited	
платить за вход	H	actor	pay to play	curated	mt-edited	
под столом	H	actor	under the table	curated	mt-edited	
подарок для министра	H	actor	gift for the minister	curated	mt-edited	
подарок министру	H	actor	gift for the minister	curated	mt-edited	
подмазать	H	actor	grease payment	curated	mt-edited	
подмазать его	H	actor	grease his palm	curated	mt-edited	
подмазать ее	H	actor	grease her palm	curated	mt-edited	
подмазать их	H	actor	grease their palm	curated	mt-edited	
проверки не будет	H	actor	no inspection	investigator-list	mt-edited	
решить вопрос на таможне	H	actor	customs intervention	doj-sec-fcpa-guide	mt-edited	
сговор на тендере	H	actor	bid rigging	curated	mt-edited	
сговор на торгах	H	actor	bid rigging	curated	mt-edited	
сговор о ценах	H	actor	price fixing	curated	mt-edited	
смазать механизм	H	actor	grease the wheels	curated	mt-edited	
