term	tier	speaker	concept	source	review	note
convergence de volontés	H	neutral	convergence of will	mou-definition	mt-edited	
juridiquement non contraignant	H	neutral	legally non-binding	mou-definition	mt-edited	
les parties entendent	H	neutral	the parties intend	curated	mt-edited	
les parties ont l'intention	H	neutral	the parties intend	curated	mt-edited	
lettre de confort	H	neutral	letter of comfort	mou-definition	mt-edited	
lettre d'entente	H	neutral	letter of understanding	mou-definition	mt-edited	
lettre d'intention de garantie	H	neutral	letter of comfort	mou-definition	mt-edited	
lettre d'intentions	H	neutral	letter of intent	curated	mt-edited	
ligne d'action commune envisagée	H	neutral	intended common line of action	mou-definition	mt-edited	
memorandum d'accord	H	neutral	memorandum of understanding	curated	mt-edited	
mémorandum d'entente	H	neutral	memorandum of understanding	curated	mt-edited	
ne crée aucun engagement juridique	H	neutral	shall not create any legally binding	curated	mt-edited	
ne crée aucune obligation juridiquement contraignante	H	neutral	does not create legally binding obligations	curated	mt-edited	
ne crée pas d'obligations juridiques	H	neutral	does not create legally binding obligations	curated	mt-edited	
non contraignant	H	neutral	not legally binding	curated	mt-edited	
pas juridiquement contraignant	H	neutral	not legally binding	curated	mt-edited	
principaux termes	H	neutral	heads of terms	curated	mt-edited	
protocole d'accord	H	neutral	memorandum of understanding	curated	mt-edited	
protocole d'accord préliminaire	H	neutral	heads of agreement	curated	mt-edited	
rencontre des volontés	H	neutral	convergence of will	mou-definition	mt-edited	
sans valeur juridique contraignante	H	neutral	legally non-binding	mou-definition	mt-edited	
sous réserve de contrat	H	neutral	subject to contract	curated	mt-edited	
sous réserve de la signature du contrat	H	neutral	subject to contract	curated	mt-edited	
accord-cadre	M	neutral	framework agreement	curated	mt-edited	
accord de coopération	M	neutral	cooperation agreement	curated	mt-edited	
accord tacite	M	neutral	gentlemen's agreement	mou-definition	mt-edited	
convention-cadre	M	neutral	framework agreement	curated	mt-edited	
convention de coopération	M	neutral	cooperation agreement	curated	mt-edited	
déclaration d'intérêt	M	neutral	expression of interest	curated	mt-edited	
feuille de modalités	M	neutral	term sheet	curated	mt-edited	
lettre d'intention	M	neutral	heads of terms	curated	mt-edited	
manifestation d'intérêt	M	neutral	expression of interest	curated	mt-edited	
non contraignante	M	neutral	non-binding	curated	mt-edited	
en principe	L	neutral	in principle	curated	mt-edited	
sans engagement	L	neutral	non-binding	curated	mt-edited	
s'efforcera	L	neutral	will endeavour	curated	mt-edited	
s'efforceront	L	neutral	will endeavour	curated	mt-edited	
