term	tier	speaker	concept	source	review	note
attack on civilians	H	accuser	attack on civilians	curated	original	
attack on the aid convoy	H	accuser	attack on humanitarian workers	rome-statute	original	Art. 8(2)(b)(iii)
attack on the hospital	H	accuser	attack on hospitals	rome-statute	original	Art. 8(2)(b)(ix)
attacking civilians	H	accuser	attack on civilians	curated	original	
attacks on aid workers	H	accuser	attack on humanitarian workers	rome-statute	original	Art. 8(2)(b)(iii)
attacks on civilians	H	accuser	attack on civilians	curated	original	
attacks on hospitals	H	accuser	attack on hospitals	rome-statute	original	
barrel bomb*	H	accuser	barrel bomb	curated	original	
biological experiments	H	accuser	biological experiments	rome-statute	original	Art. 8(2)(a)(ii)
bombing of hospitals	H	accuser	attack on hospitals	curated	original	
bullets which expand	H	accuser	expanding bullets	rome-statute	original	Art. 8(2)(b)(xix)
chemical attack*	H	accuser	chemical attack	curated	original	
child soldier*	H	accuser	child soldiers	curated	original	
chlorine attack*	H	accuser	chemical attack	curated	original	
clearly excessive in relation to	H	accuser	disproportionate attack	rome-statute	original	Art. 8(2)(b)(iv), proportionality
conflict-related sexual violence	H	accuser	conflict-related sexual violence	curated	original	
conscripting or enlisting children	H	accuser	child soldiers	rome-statute	original	Art. 8(2)(b)(xxvi)
disproportionate attack*	H	accuser	disproportionate attack	curated	original	
double tap strike*	H	accuser	double tap strike	curated	original	
execute the prisoners	H	actor	killing prisoners	curated	original	
executed without trial	H	accuser	summary execution	rome-statute	original	Art. 8(2)(c)(iv), paraphrase
grave breach*	H	accuser	grave breaches	rome-statute	original	of the Geneva Conventions
hors de combat	H	accuser	hors de combat	rome-statute	original	
hospital was bombed	H	accuser	attack on hospitals	curated	original	
hostage taking	H	accuser	taking of hostages	curated	original	
human shield*	H	accuser	human shields	rome-statute	original	Art. 8(2)(b)(xxiii)
humiliating and degrading treatment	H	accuser	outrages upon personal dignity	rome-statute	original	Art. 8(2)(b)(xxi)
impeding relief supplies	H	accuser	starvation as a method of warfare	rome-statute	original	Art. 8(2)(b)(xxv)
indiscriminate attack*	H	accuser	indiscriminate attack	curated	original	
indiscriminate bombing	H	accuser	indiscriminate attack	curated	original	
indiscriminate shelling	H	accuser	indiscriminate attack	curated	original	
intentionally directing attacks	H	accuser	intentionally directing attacks	rome-statute	original	Art. 8(2)(b)(i)
kill the prisoners	H	actor	killing prisoners	curated	original	
laws and customs of war	H	accuser	laws and customs of war	curated	original	
leave no one alive	H	actor	no quarter	curated	original	
military advantage anticipated	H	accuser	disproportionate attack	rome-statute	original	Art. 8(2)(b)(iv)
no quarter will be given	H	actor	no quarter	rome-statute	original	Art. 8(2)(b)(xii)
not justified by military necessity	H	accuser	wanton destruction	rome-statute	original	Art. 8(2)(a)(iv)
outrages upon personal dignity	H	accuser	outrages upon personal dignity	rome-statute	original	Art. 8(2)(b)(xxi)
perfidy	H	accuser	perfidy	rome-statute	original	
poisoned weapons	H	accuser	poisoned weapons	rome-statute	original	Art. 8(2)(b)(xvii)
rape as a weapon of war	H	accuser	rape as a weapon of war	curated	original	
shelling of residential areas	H	accuser	indiscriminate attack	curated	original	
shoot the prisoners	H	actor	killing prisoners	curated	original	
starvation as a method of warfare	H	accuser	starvation as a method of warfare	rome-statute	original	Art. 8(2)(b)(xxv)
starvation of civilians	H	accuser	starvation as a method of warfare	rome-statute	original	
starve them into submission	H	actor	starvation as a method of warfare	curated	original	
starve them out	H	actor	starvation as a method of warfare	curated	original	
starving civilians	H	accuser	starvation as a method of warfare	curated	original	
summary execution*	H	accuser	summary execution	curated	original	
surrendered at discretion	H	accuser	hors de combat	rome-statute	original	Art. 8(2)(b)(vi)
taking of hostages	H	accuser	taking of hostages	rome-statute	original	Art. 8(2)(a)(viii)
targeted civilians	H	accuser	attack on civilians	curated	original	
targeting civilians	H	accuser	attack on civilians	curated	original	
transfer of its own civilian population	H	accuser	transfer of its own civilian population	rome-statute	original	Art. 8(2)(b)(viii), settlement in occupied territory
unlawful deportation	H	accuser	unlawful deportation	rome-statute	original	Art. 8(2)(a)(vii)
wanton destruction	H	accuser	wanton destruction	rome-statute	original	
wilful killing	H	accuser	wilful killing	rome-statute	original	Art. 8(2)(a)(i)
willful killing	H	accuser	wilful killing	rome-statute	original	US spelling
anti-personnel mine*	M	accuser	anti-personnel mines	curated	original	
antipersonnel mine*	M	accuser	anti-personnel mines	curated	original	
asphyxiating	M	accuser	asphyxiating gases	rome-statute	original	Art. 8(2)(b)(xviii)
attacks on schools	M	accuser	attack on schools	curated	original	also school shootings
carpet bombing	M	accuser	carpet bombing	curated	original	
chemical weapon*	M	accuser	chemical weapons	curated	original	also disarmament news
civilian objects	M	accuser	civilian objects	rome-statute	original	Art. 8(2)(b)(ii)
cluster bomb*	M	accuser	cluster munitions	curated	original	
cluster munition*	M	accuser	cluster munitions	curated	original	
collective punishment	M	accuser	collective punishment	curated	original	
command responsibility	M	accuser	command responsibility	rome-statute	original	Art. 28
destruction of cultural heritage	M	accuser	destruction of cultural heritage	curated	original	
geneva convention*	M	accuser	geneva conventions	curated	original	
ictr	M	accuser	ictr	curated	original	Rwanda tribunal
icty	M	accuser	icty	curated	original	former-Yugoslavia tribunal
illegal orders	M	insider	unlawful orders	curated	original	
inhuman treatment	M	accuser	inhuman treatment	rome-statute	original	Art. 8(2)(a)(ii)
international criminal court	M	accuser	international criminal court	curated	original	the court for all three atrocity crimes
international humanitarian law	M	accuser	international humanitarian law	curated	original	
laws of war	M	accuser	laws of war	curated	original	
military necessity	M	neutral	military necessity	rome-statute	original	legal term; also the usual justification
mutilation	M	accuser	mutilation	rome-statute	original	Art. 8(2)(c)(i); also genital mutilation
nerve agent*	M	accuser	nerve agents	curated	original	
no quarter	M	actor	no quarter	rome-statute	original	
no survivors	M	actor	no quarter	curated	original	also disaster reporting
occupying power	M	accuser	occupying power	rome-statute	original	
perfidious*	M	accuser	perfidy	curated	original	
pillage	M	accuser	pillage	rome-statute	original	Art. 8(2)(b)(xvi)
pillaging	M	accuser	pillage	rome-statute	original	
pow camp*	M	accuser	prisoners of war	curated	original	
rome statute	M	accuser	rome statute	curated	original	
sarin	M	accuser	nerve agents	curated	original	
scorched earth	M	actor	scorched earth	curated	original	also business jargon
superior orders	M	insider	superior orders	rome-statute	original	Art. 33; the defence of following orders
superior responsibility	M	accuser	command responsibility	rome-statute	original	Art. 28
take no prisoners	M	actor	no quarter	curated	original	also business and sport idiom
treacherously	M	accuser	perfidy	rome-statute	original	Art. 8(2)(b)(xi)
unlawful confinement	M	accuser	unlawful confinement	rome-statute	original	Art. 8(2)(a)(vii)
unlawful orders	M	insider	unlawful orders	curated	original	
war crime*	M	accuser	war crimes	rome-statute	original	also history and news of any conflict
war criminal*	M	accuser	war criminal	curated	original	
white phosphorus	M	accuser	white phosphorus	curated	original	
zachistka	M	accuser	zachistka	curated	original	Russian clearing sweep, Chechnya
besieged	L	accuser	siege	curated	original	
civilian casualties	L	accuser	civilian casualties	curated	original	also news of any conflict
collateral damage	L	actor	collateral damage	curated	original	also everyday idiom
cultural property	L	accuser	cultural property	curated	original	also museum and heritage law
looting	L	actor	pillage	curated	original	also riots
nuremberg trials	L	accuser	nuremberg trials	curated	original	
plunder*	L	actor	pillage	curated	original	
prisoner of war	L	accuser	prisoners of war	curated	original	also history
prisoners of war	L	accuser	prisoners of war	curated	original	also history
siege	L	accuser	siege	curated	original	also chess, games and metaphor
