term	tier	speaker	concept	source	review	note
acte de génocide	H	accuser	act of genocide	genocide-convention	mt-edited	
actes de génocide	H	accuser	acts of genocide	genocide-convention	mt-edited	
atteinte grave à l'intégrité physique ou mentale	H	accuser	serious bodily or mental harm	rome-statute	mt-edited	art. 6 b)
aucun ne doit survivre	H	actor	none of them should survive	curated	mt-edited	
camp d'extermination	H	accuser	extermination camp	curated	mt-edited	
camps d'extermination	H	accuser	extermination camp	curated	mt-edited	
complicité de génocide	H	accuser	complicity in genocide	genocide-convention	mt-edited	
conditions d'existence devant entraîner	H	accuser	conditions of life calculated to bring about	rome-statute	mt-edited	art. 6 c)
coupez les grands arbres	H	actor	cut the tall trees	curated	mt-edited	Rwanda, radio code for killing Tutsi
crime de génocide	H	accuser	crime of genocide	genocide-convention	mt-edited	
destruction du groupe	H	accuser	destruction of the group	rome-statute	mt-edited	
entente en vue de commettre le génocide	H	accuser	conspiracy to commit genocide	genocide-convention	mt-edited	
entraver les naissances	H	accuser	prevent births within the group	rome-statute	mt-edited	art. 6 d)
exterminez-les	H	actor	exterminate them	un-atrocity-framework	mt-edited	call to destroy a group
groupe national, ethnique, racial ou religieux	H	accuser	national, ethnical, racial or religious group	rome-statute	mt-edited	art. 6
il faut tous les tuer	H	actor	kill them all	un-atrocity-framework	mt-edited	call to destroy a group
incitation au génocide	H	accuser	incitement to genocide	curated	mt-edited	
incitation directe et publique	H	accuser	direct and public incitement	rome-statute	mt-edited	art. 25-3-e
intention de détruire	H	accuser	intent to destroy	rome-statute	mt-edited	art. 6
intention génocidaire	H	accuser	genocidal intent	curated	mt-edited	
les rayer de la carte	H	actor	wipe them off the map	un-atrocity-framework	mt-edited	call to destroy a group
meurtre de membres du groupe	H	accuser	killing members of the group	rome-statute	mt-edited	art. 6 a)
transfert forcé d'enfants	H	accuser	forcible transfer of children	rome-statute	mt-edited	art. 6 e)
tuez-les tous	H	actor	kill them all	un-atrocity-framework	mt-edited	call to destroy a group
camp de la mort	M	accuser	death camp	curated	mt-edited	also history teaching
camps de la mort	M	accuser	death camp	curated	mt-edited	also history teaching
convention sur le génocide	M	accuser	genocide convention	genocide-convention	mt-edited	
conversion forcée	M	accuser	forced conversion	curated	mt-edited	
conversions forcées	M	accuser	forced conversion	curated	mt-edited	
en raison de leur appartenance ethnique	M	accuser	because of their ethnicity	curated	mt-edited	
négationnisme	M	accuser	genocide denial	curated	mt-edited	
pureté raciale	M	actor	racial purity	curated	mt-edited	
solution finale	M	accuser	final solution	curated	mt-edited	Holocaust; also an ordinary phrase
sous-homme*	M	actor	subhuman	un-atrocity-framework	mt-edited	dehumanising language
cafards	L	actor	cockroaches	un-atrocity-framework	mt-edited	dehumanising language only beside other signals
holocauste	L	accuser	holocaust	curated	mt-edited	also history teaching
nuisibles	L	actor	vermin	un-atrocity-framework	mt-edited	dehumanising language only beside other signals; also pest control
vermine	L	actor	vermin	un-atrocity-framework	mt-edited	dehumanising language only beside other signals
