term	tier	speaker	concept	source	review	note
act now	H	neutral	act now	curated	original	
email preferences	H	neutral	email preferences	curated	original	
limited time offer	H	neutral	limited time offer	curated	original	
manage your preferences	H	neutral	manage your preferences	curated	original	
no longer wish to receive	H	neutral	no longer wish to receive	curated	original	
promo code	H	neutral	promo code	curated	original	
sale ends	H	neutral	sale ends	curated	original	
unsubscribe	H	neutral	unsubscribe	curated	original	
view in browser	H	neutral	view in browser	curated	original	
view this email in your browser	H	neutral	view this email in your browser	curated	original	
you are receiving this email because	H	neutral	you are receiving this email because	curated	original	
advertisement	M	neutral	advertisement	curated	original	
buy now	M	neutral	buy now	curated	original	
click here	M	neutral	click here	curated	original	
discount code	M	neutral	discount code	curated	original	
don't miss out	M	neutral	don't miss out	curated	original	
exclusive deal	M	neutral	exclusive deal	curated	original	
free shipping	M	neutral	free shipping	curated	original	
opt out	M	neutral	opt out	curated	original	
percent off	M	neutral	percent off	curated	original	
special offer	M	neutral	special offer	curated	original	
newsletter	L	neutral	newsletter	curated	original	
sponsored	L	neutral	sponsored	curated	original	
subscribe	L	neutral	subscribe	curated	original	
webinar	L	neutral	webinar	curated	original	
