term	tier	speaker	concept	source	review	note
acto de genocidio	H	accuser	act of genocide	genocide-convention	mt-edited	
actos de genocidio	H	accuser	acts of genocide	genocide-convention	mt-edited	
asociación para cometer genocidio	H	accuser	conspiracy to commit genocide	genocide-convention	mt-edited	
borrarlos del mapa	H	actor	wipe them off the map	un-atrocity-framework	mt-edited	call to destroy a group
campo de exterminio	H	accuser	extermination camp*	curated	mt-edited	
campos de exterminio	H	accuser	extermination camp*	curated	mt-edited	
complicidad en el genocidio	H	accuser	complicity in genocide	genocide-convention	mt-edited	
condiciones de existencia que hayan de acarrear	H	accuser	conditions of life calculated to bring about	rome-statute	mt-edited	art. 6 c)
corten los árboles altos	H	actor	cut the tall trees	curated	mt-edited	Rwanda, radio code for killing Tutsi
crimen de genocidio	H	accuser	crime of genocide	genocide-convention	mt-edited	
destrucción del grupo	H	accuser	destruction of the group	rome-statute	mt-edited	
exterminarlos	H	actor	exterminate them	un-atrocity-framework	mt-edited	call to destroy a group
extermínenlos	H	actor	exterminate them	un-atrocity-framework	mt-edited	call to destroy a group
grupo nacional, étnico, racial o religioso	H	accuser	national, ethnical, racial or religious group	rome-statute	mt-edited	art. 6
hay que matarlos a todos	H	actor	kill them all	un-atrocity-framework	mt-edited	call to destroy a group
impedir nacimientos en el seno del grupo	H	accuser	prevent births within the group	rome-statute	mt-edited	art. 6 d)
incitación al genocidio	H	accuser	incitement to genocide	curated	mt-edited	
instigación directa y pública	H	accuser	direct and public incitement	rome-statute	mt-edited	art. 25 3 e)
intención de destruir	H	accuser	intent to destroy	rome-statute	mt-edited	art. 6
intención genocida	H	accuser	genocidal intent	curated	mt-edited	
lesión grave a la integridad física o mental	H	accuser	serious bodily or mental harm	rome-statute	mt-edited	art. 6 b)
matanza de miembros del grupo	H	accuser	killing members of the group	rome-statute	mt-edited	art. 6 a)
ninguno debe sobrevivir	H	actor	none of them should survive	curated	mt-edited	
no debe quedar ni uno	H	actor	not one of them left	curated	mt-edited	
traslado por la fuerza de niños	H	accuser	forcibly transferring children	rome-statute	mt-edited	art. 6 e)
campo de la muerte	M	accuser	death camp*	curated	mt-edited	also history teaching
campos de la muerte	M	accuser	death camp*	curated	mt-edited	also history teaching
convención sobre el genocidio	M	accuser	genocide convention	genocide-convention	mt-edited	
conversiones forzadas	M	accuser	forced conversion*	curated	mt-edited	
conversión forzada	M	accuser	forced conversion*	curated	mt-edited	
negacionismo	M	accuser	genocide denial	curated	mt-edited	
por su origen étnico	M	accuser	because of their ethnicity	curated	mt-edited	
pureza racial	M	actor	racial purity	curated	mt-edited	
solución final	M	accuser	final solution	curated	mt-edited	Holocaust; also an ordinary phrase
subhumano*	M	actor	subhuman	un-atrocity-framework	mt-edited	dehumanising language
alimañas	L	actor	vermin	un-atrocity-framework	mt-edited	dehumanising language only beside other signals
cucarachas	L	actor	cockroaches	un-atrocity-framework	mt-edited	dehumanising language only beside other signals
holocausto	L	accuser	holocaust	curated	mt-edited	also history teaching
plaga	L	actor	vermin	un-atrocity-framework	mt-edited	dehumanising language only beside other signals; also pests
