term	tier	speaker	concept	source	review	note
adresse de domiciliation de masse	H	accuser	mass registration address	fatf-egmont-tbml	mt-edited	
arnaque au président	H	accuser	wire fraud	curated	mt-edited	
blanchiment commercial	H	accuser	trade-based money laundering	curated	mt-edited	
blanchiment par le commerce	H	accuser	trade-based money laundering	curated	mt-edited	
carrousel de TVA	H	accuser	carousel fraud	curated	mt-edited	
chaîne de Ponzi	H	accuser	ponzi	curated	mt-edited	
compte de passage	H	actor	pay-through account	fatf-egmont-tbml	mt-edited	
compte de transit	H	actor	pay-through account	fatf-egmont-tbml	mt-edited	
contournement des sanctions	H	accuser	sanctions evasion	curated	mt-edited	
contourner les sanctions	H	accuser	evade sanctions	curated	mt-edited	
déclaration de soupçon	H	accuser	suspicious activity report	fincen-human-trafficking	mt-edited	
déclarations de soupçon	H	accuser	suspicious activity report	fincen-human-trafficking	mt-edited	
délit d'initié	H	accuser	insider trading	curated	mt-edited	
délits d'initiés	H	accuser	insider trading	curated	mt-edited	
domiciliation collective	H	accuser	mass registration address	fatf-egmont-tbml	mt-edited	
escroquerie au virement	H	accuser	wire fraud	curated	mt-edited	
évasion fiscale	H	accuser	tax evasion	curated	mt-edited	
falsification des comptes	H	accuser	accounting fraud	curated	mt-edited	
fausse facturation	H	accuser	false invoicing	curated	mt-edited	
fausses factures	H	accuser	false invoicing	curated	mt-edited	
fixing très bas	H	actor	very low fix	fsa-cftc-libor-chats	mt-edited	
fractionner le paiement	H	actor	split the payment	curated	mt-edited	
fractionner les paiements	H	actor	split the payment	curated	mt-edited	
fraude à la TVA	H	accuser	vat fraud	curated	mt-edited	
fraude au virement	H	accuser	wire fraud	curated	mt-edited	
fraude boursière	H	accuser	securities fraud	curated	mt-edited	
fraude carrousel	H	accuser	carousel fraud	curated	mt-edited	
fraude comptable	H	accuser	accounting fraud	curated	mt-edited	
fraude fiscale	H	accuser	tax evasion	curated	mt-edited	
fraude sur titres	H	accuser	securities fraud	curated	mt-edited	
gonflement et vente	H	accuser	pump and dump	curated	mt-edited	
information privilégiée	H	accuser	insider information	curated	mt-edited	
information privilégiée non publique	H	accuser	material non-public information	curated	mt-edited	
informations privilégiées	H	accuser	insider information	curated	mt-edited	
juste en dessous du seuil	H	actor	just below the threshold	fatf-egmont-tbml	mt-edited	
juste en dessous du seuil de déclaration	H	accuser	just below reporting thresholds	fatf-egmont-tbml	mt-edited	
juste sous le seuil	H	actor	just below the threshold	fatf-egmont-tbml	mt-edited	
malhonnête par définition	H	accuser	dishonest by definition	cftc-barclays-libor	mt-edited	
manipulation de cours	H	accuser	market manipulation	curated	mt-edited	
manipulation de marché	H	accuser	market manipulation	curated	mt-edited	
