term	tier	speaker	concept	source	review	note
appel d'offres truqué	H	actor	rigged tender	curated	mt-edited	
argent pour accélérer	H	actor	speed money	curated	mt-edited	
argent pour graisser la patte	H	actor	grease payment	curated	mt-edited	
bakchich	H	actor	backhander	curated	mt-edited	
cadeau pour le ministre	H	actor	gift for the minister	curated	mt-edited	
commission excessive	H	actor	excessive commission	doj-sec-fcpa-guide	mt-edited	
commission occulte	H	accuser	kickback	curated	mt-edited	
commissions excessives	H	actor	excessive commission	doj-sec-fcpa-guide	mt-edited	
commissions occultes	H	accuser	kickback	curated	mt-edited	
dessous-de-table	H	actor	under the table	curated	mt-edited	
elle y trouvera son compte	H	actor	make it worth her while	curated	mt-edited	
entente sur les appels d'offres	H	actor	bid rigging	curated	mt-edited	
entente sur les prix	H	actor	price fixing	curated	mt-edited	
enveloppe d'argent	H	actor	brown envelope	curated	mt-edited	
enveloppe kraft	H	actor	brown envelope	curated	mt-edited	
enveloppe marron	H	actor	brown envelope	curated	mt-edited	
espèces dans une enveloppe	H	actor	cash in an envelope	curated	mt-edited	
fermer les yeux	H	actor	look the other way	curated	mt-edited	
fermer les yeux sur	H	actor	turn a blind eye	curated	mt-edited	
frais d'accélération	H	actor	expedite fee	curated	mt-edited	
frais de dédouanement accéléré	H	actor	customs intervention	doj-sec-fcpa-guide	mt-edited	
frais spéciaux	H	actor	special fees	investigator-list	mt-edited	
graisser la patte	H	actor	grease his palm	curated	mt-edited	
graisser les rouages	H	actor	grease the wheels	curated	mt-edited	
honoraires spéciaux	H	actor	special fees	investigator-list	mt-edited	
huiler les rouages	H	actor	grease the wheels	curated	mt-edited	
il y trouvera son compte	H	actor	make it worth his while	curated	mt-edited	
ils y trouveront leur compte	H	actor	make it worth their while	curated	mt-edited	
intervention douanière	H	actor	customs intervention	doj-sec-fcpa-guide	mt-edited	
leur graisser la patte	H	actor	grease their palm	curated	mt-edited	
liquide dans une enveloppe	H	actor	cash in an envelope	curated	mt-edited	
lui graisser la patte	H	actor	grease her palm	curated	mt-edited	
marché truqué	H	actor	rigged tender	curated	mt-edited	
notre ami au ministère	H	actor	our friend in the ministry	curated	mt-edited	
notre homme au ministère	H	actor	our friend in the ministry	curated	mt-edited	
offre de complaisance	H	actor	cover bid	curated	mt-edited	
offre de couverture	H	actor	cover bid	curated	mt-edited	
paiement d'accélération	H	actor	expedite fee	curated	mt-edited	
paiement de complaisance	H	actor	friendly payment	investigator-list	mt-edited	
paiement de facilitation	H	actor	facilitation payment	curated	mt-edited	
paiements de complaisance	H	actor	friendly payments	investigator-list	mt-edited	
paiements de facilitation	H	actor	facilitation payment	curated	mt-edited	
pas de contrôle	H	actor	no inspection	investigator-list	mt-edited	
payer pour jouer	H	actor	pay to play	curated	mt-edited	
payer pour obtenir le marché	H	actor	pay to play	curated	mt-edited	
pot-de-vin	H	actor	backhander	curated	mt-edited	
pots-de-vin	H	actor	backhander	curated	mt-edited	
prestations floues	H	actor	vaguely described services	doj-sec-fcpa-guide	mt-edited	
prestations vaguement décrites	H	actor	vaguely described services	doj-sec-fcpa-guide	mt-edited	
regarder ailleurs	H	actor	look the other way	curated	mt-edited	
remise anormalement élevée	H	actor	unreasonably large discount	doj-sec-fcpa-guide	mt-edited	
remise excessive	H	actor	unreasonably large discount	doj-sec-fcpa-guide	mt-edited	
rétrocommission*	H	accuser	kickback	curated	mt-edited	
sans contrôle	H	actor	no inspection	investigator-list	mt-edited	
sous la table	H	actor	under the table	curated	mt-edited	
