term	tier	speaker	concept	source	review	note
إبعاد السكان أو النقل القسري للسكان	H	accuser	deportation or forcible transfer	rome-statute	mt-edited	art. 7 1 d)
إخفاء قسري	H	accuser	enforced disappearance*	rome-statute	mt-edited	
إعدام جماعي	H	accuser	mass execution*	curated	mt-edited	
إعدام خارج نطاق القضاء	H	accuser	extrajudicial execution*	curated	mt-edited	
إعدامات جماعية	H	accuser	mass execution*	curated	mt-edited	
إعدامات خارج نطاق القضاء	H	accuser	extrajudicial execution*	curated	mt-edited	
اغتصاب جماعي	H	accuser	mass rape	curated	mt-edited	also gang rape
الأفعال اللاإنسانية الأخرى	H	accuser	other inhumane acts	rome-statute	mt-edited	art. 7 1 k)
الإخفاء القسري	H	accuser	enforced disappearance*	rome-statute	mt-edited	definite form
الإعدامات الجماعية	H	accuser	mass execution*	curated	mt-edited	definite form
الإكراه على البغاء	H	accuser	enforced prostitution	rome-statute	mt-edited	art. 7 1 g)
الاختفاء القسري	H	accuser	enforced disappearance*	rome-statute	mt-edited	art. 7 1 i)
الاستعباد الجنسي	H	accuser	sexual slavery	rome-statute	mt-edited	art. 7 1 g)
الاغتصاب الجماعي	H	accuser	mass rape	curated	mt-edited	definite form
الاغتصاب الممنهج	H	accuser	systematic rape	curated	mt-edited	
التطهير العرقي	H	accuser	ethnic cleansing	curated	mt-edited	
التعقيم القسري	H	accuser	enforced sterilization	rome-statute	mt-edited	art. 7 1 g)
التهجير القسري	H	accuser	forcible transfer of population	curated	mt-edited	the usual Arabic term
الحرمان الشديد من الحرية البدنية	H	accuser	severe deprivation of physical liberty	rome-statute	mt-edited	art. 7 1 e)
الحمل القسري	H	accuser	forced pregnancy	rome-statute	mt-edited	art. 7 1 g)
القتل خارج نطاق القانون	H	accuser	extrajudicial killing*	curated	mt-edited	
المختفين قسريا	H	accuser	enforced disappearance*	curated	mt-edited	
المقابر الجماعية	H	accuser	mass grave*	curated	mt-edited	definite form
المقبرة الجماعية	H	accuser	mass grave*	curated	mt-edited	definite form
النقل القسري للسكان	H	accuser	forcible transfer of population	rome-statute	mt-edited	
تصفية جسدية	H	accuser	extrajudicial killing*	curated	mt-edited	
تطهير عرقي	H	accuser	ethnic cleansing	curated	mt-edited	
تهجير قسري	H	accuser	forcible transfer of population	curated	mt-edited	
جريمة الفصل العنصري	H	accuser	crime of apartheid	rome-statute	mt-edited	art. 7 1 j)
ضد أية مجموعة من السكان المدنيين	H	accuser	attack directed against any civilian population	rome-statute	mt-edited	art. 7
فرق الموت	H	accuser	death squad*	curated	mt-edited	
فرقة موت	H	accuser	death squad*	curated	mt-edited	
مختفي قسريا	H	accuser	enforced disappearance*	curated	mt-edited	
مصيرهم وأماكن وجودهم	H	accuser	fate and whereabouts	rome-statute	mt-edited	art. 7 2 i)
معسكرات إعادة التثقيف	H	accuser	re-education camp*	curated	mt-edited	
معسكرات الفرز	H	accuser	filtration camp*	curated	mt-edited	
مقابر جماعية	H	accuser	mass grave*	curated	mt-edited	
مقبرة جماعية	H	accuser	mass grave*	curated	mt-edited	
هجوم واسع النطاق أو منهجي	H	accuser	widespread or systematic attack	rome-statute	mt-edited	art. 7
واسع النطاق وممنهج	H	accuser	widespread and systematic	curated	mt-edited	
واسعة النطاق وممنهجة	H	accuser	widespread and systematic	curated	mt-edited	
أبارتهايد	M	accuser	apartheid	rome-statute	mt-edited	also historical and political argument
استعباد	M	accuser	enslavement	rome-statute	mt-edited	
اعتقال تعسفي	M	accuser	arbitrary detention	curated	mt-edited	
الاحتجاز التعسفي	M	accuser	arbitrary detention	curated	mt-edited	
الاسترقاق	M	accuser	enslavement	rome-statute	mt-edited	art. 7 1 c)
السجون السرية	M	accuser	secret detention	curated	mt-edited	definite form
السخرة	M	accuser	forced labour	curated	mt-edited	
العمل القسري	M	accuser	forced labour	curated	mt-edited	also human-trafficking and supply-chain compliance
الفصل العنصري	M	accuser	apartheid	rome-statute	mt-edited	
القتل الجماعي	M	accuser	mass killing*	curated	mt-edited	definite form
بمعزل عن العالم الخارجي	M	accuser	incommunicado	curated	mt-edited	
تعذيب	M	accuser	tortur*	rome-statute	mt-edited	also hyperbole
جرائم ضد الإنسانية	M	accuser	crimes against humanity	rome-statute	mt-edited	also news and history
جريمة ضد الإنسانية	M	accuser	crime against humanity	rome-statute	mt-edited	
سجن سري	M	accuser	secret detention	curated	mt-edited	
سجون سرية	M	accuser	secret detention	curated	mt-edited	
قتل جماعي	M	accuser	mass killing*	curated	mt-edited	
مجهولي المصير	M	accuser	whereabouts remain unknown	curated	mt-edited	
مراكز احتجاز	M	accuser	internment camp*	curated	mt-edited	
مصيره مجهول	M	accuser	whereabouts remain unknown	curated	mt-edited	also missing-person notices
معتقلات سرية	M	accuser	secret detention	curated	mt-edited	
معسكر اعتقال	M	accuser	concentration camp*	curated	mt-edited	also history teaching
معسكرات الاعتقال	M	accuser	concentration camp*	curated	mt-edited	also history teaching
استخراج الجثث	L	accuser	exhumation*	curated	mt-edited	also forensic routine
الاضطهاد	L	accuser	persecution	rome-statute	mt-edited	art. 7 1 h); also religious history and everyday speech
المعتقلين السياسيين	L	accuser	political prisoners	curated	mt-edited	
معتقلي الرأي	L	accuser	political prisoners	curated	mt-edited	
نبش القبور	L	accuser	exhumation*	curated	mt-edited	
