term	tier	speaker	concept	source	review	note
אינך מעוניין לקבל	H	neutral	no longer wish to receive	curated	mt-edited	
אינך מעוניינת לקבל	H	neutral	no longer wish to receive	curated	mt-edited	
הודעה זו נשלחה אליך	H	neutral	you are receiving this email because	curated	mt-edited	
המבצע מסתיים	H	neutral	sale ends	curated	mt-edited	
הסר מנוי	H	neutral	unsubscribe	curated	mt-edited	
הסרה מרשימת התפוצה	H	neutral	unsubscribe	curated	mt-edited	
העדפות דיוור	H	neutral	email preferences	curated	mt-edited	
הצג בדפדפן	H	neutral	view in browser	curated	mt-edited	
לצפייה בדפדפן	H	neutral	view in browser	curated	mt-edited	
מבצע לזמן מוגבל	H	neutral	limited time offer	curated	mt-edited	
ניהול העדפות	H	neutral	manage your preferences	curated	mt-edited	
פעלו עכשיו	H	neutral	act now	curated	mt-edited	
פרסומת	H	neutral	advertisement	curated	mt-edited	Israeli law requires it in the subject of marketing mail
קוד קופון	H	neutral	promo code	curated	mt-edited	
קיבלת מייל זה כי	H	neutral	you are receiving this email because	curated	mt-edited	
אל תפספסו	M	neutral	don't miss out	curated	mt-edited	
ביטול מנוי	M	neutral	opt out	curated	mt-edited	
הצעה מיוחדת	M	neutral	special offer	curated	mt-edited	
להסרה	M	neutral	unsubscribe	curated	mt-edited	
לחץ כאן	M	neutral	click here	curated	mt-edited	
לחצו כאן	M	neutral	click here	curated	mt-edited	
מבצע מיוחד	M	neutral	special offer	curated	mt-edited	
משלוח חינם	M	neutral	free shipping	curated	mt-edited	
עסקה בלעדית	M	neutral	exclusive deal	curated	mt-edited	
קוד הנחה	M	neutral	discount code	curated	mt-edited	
קנה עכשיו	M	neutral	buy now	curated	mt-edited	
קנו עכשיו	M	neutral	buy now	curated	mt-edited	
דיוור	L	neutral	newsletter	curated	mt-edited	
הירשמו	L	neutral	subscribe	curated	mt-edited	
וובינר	L	neutral	webinar	curated	mt-edited	
ממומן	L	neutral	sponsored	curated	mt-edited	
ניוזלטר	L	neutral	newsletter	curated	mt-edited	
