term	tier	speaker	concept	source	review	note
arbitraje cci	H	neutral	icc arbitration	curated	mt-edited	
arbitraje de la cci	H	neutral	icc arbitration	curated	mt-edited	
cnudmi	H	neutral	uncitral	curated	mt-edited	
competencia exclusiva	H	neutral	exclusive jurisdiction	curated	mt-edited	
derecho aplicable	H	neutral	governing law	curated	mt-edited	
jurisdicción exclusiva	H	neutral	exclusive jurisdiction	curated	mt-edited	
jurisdicción exclusiva de los tribunales de	H	neutral	exclusive jurisdiction of the courts of	curated	mt-edited	
jurisdicción no exclusiva	H	neutral	non-exclusive jurisdiction	curated	mt-edited	
legislación aplicable	H	neutral	governing law	curated	mt-edited	
ley aplicable	H	neutral	governing law	curated	mt-edited	
ley de control de exportación de armas	H	neutral	arms export control act	fincen-bis-export-control	mt-edited	
ley de prácticas corruptas en el extranjero	H	neutral	foreign corrupt practices act	doj-sec-fcpa-guide	mt-edited	
ley de secreto bancario	H	neutral	bank secrecy act	fincen-bis-export-control	mt-edited	
leyes de inglaterra y gales	H	neutral	laws of england and wales	curated	mt-edited	
leyes del estado de	H	neutral	laws of the state of	curated	mt-edited	
regido por las leyes de	H	neutral	governed by the laws of	curated	mt-edited	
reglamento sobre abuso de mercado	H	neutral	market abuse regulation	global-relay-surveillance	mt-edited	
renuncian a cualquier otro fuero	H	neutral	submit to the jurisdiction	curated	mt-edited	
renunciando a cualquier otro fuero	H	neutral	submit to the jurisdiction	curated	mt-edited	
se regirá por la legislación de	H	neutral	governed by the laws of	curated	mt-edited	
se regirá por las leyes de	H	neutral	governed by the laws of	curated	mt-edited	
se someten a la jurisdicción	H	neutral	submit to the jurisdiction	curated	mt-edited	
sede arbitral	H	neutral	seat of arbitration	curated	mt-edited	
sede del arbitraje	H	neutral	seat of arbitration	curated	mt-edited	
ciadi	M	neutral	icsid	curated	mt-edited	
corte de apelaciones	M	neutral	court of appeal	curated	mt-edited	
corte suprema	M	neutral	supreme court	curated	mt-edited	
derecho de nueva york	M	neutral	new york law	curated	mt-edited	
derecho inglés	M	neutral	english law	curated	mt-edited	
derecho suizo	M	neutral	swiss law	curated	mt-edited	
estado de delaware	M	neutral	state of delaware	curated	mt-edited	
islas caimán	M	neutral	cayman islands	curated	mt-edited	
islas vírgenes británicas	M	neutral	british virgin islands	curated	mt-edited	
juzgado de distrito	M	neutral	district court	curated	mt-edited	
ley de nueva york	M	neutral	new york law	curated	mt-edited	
ley inglesa	M	neutral	english law	curated	mt-edited	
ley suiza	M	neutral	swiss law	curated	mt-edited	
suprema corte de justicia	M	neutral	supreme court	curated	mt-edited	Mexico
tribunal de apelación	M	neutral	court of appeal	curated	mt-edited	
tribunal de distrito	M	neutral	district court	curated	mt-edited	
tribunal superior	M	neutral	high court	curated	mt-edited	
tribunal supremo	M	neutral	supreme court	curated	mt-edited	Spain
fuero	L	neutral	venue	curated	mt-edited	
juzgados de	L	neutral	courts of	curated	mt-edited	
tribunales de	L	neutral	courts of	curated	mt-edited	
