term	tier	speaker	concept	source	review	note
as discussed in person	H	actor	as discussed in person	curated	original	
code word	H	actor	code word	curated	original	
codeword	H	actor	codeword	curated	original	
double team it	H	actor	double team it	nice-actimize-lexicon	original	NICE evasion example
giving you the ammo	H	actor	giving you the ammo	fca-hsbc-fx	original	FX
slam some stops	H	actor	slam some stops	fca-hsbc-fx	original	FX
taking out the filth	H	actor	taking out the filth	fca-hsbc-fx	original	FX
team whack it	H	actor	team whack it	fca-hsbc-fx	original	FX
the thing we discussed	H	actor	the thing we discussed	curated	original	
clearing the decks	M	actor	clearing the decks	fca-hsbc-fx	original	FX
our friend	M	actor	our friend	curated	original	
overbuying	M	actor	overbuying	fca-hsbc-fx	original	FX
overselling	M	actor	overselling	fca-hsbc-fx	original	FX
the ammo	M	actor	the ammo	fca-hsbc-fx	original	FX
you know what i mean	M	actor	you know what i mean	curated	original	
you know who	M	actor	you know who	curated	original	
bread	L	actor	bread	dea-slang-2018	original	DEA money
brick	L	actor	brick	dea-slang-2018	original	DEA quantity
chopper	L	actor	chopper	dea-slang-2018	original	DEA firearm
flights	L	actor	flights	sec-insider-trading-2026	original	insider-trading code for tips
food stamps	L	actor	food stamps	dea-slang-2018	original	DEA money
free money	L	actor	free money	fca-hsbc-fx	original	FX
go for broke	L	actor	go for broke	fca-hsbc-fx	original	FX
paper	L	actor	paper	dea-slang-2018	original	DEA money
per our conversation	L	actor	per our conversation	curated	original	
plug	L	actor	plug	dea-slang-2018	original	DEA source of supply
rent	L	actor	rent	dea-slang-2018	original	DEA drug proceeds
straps	L	actor	straps	dea-slang-2018	original	DEA firearms
the goods	L	actor	the goods	curated	original	
the merchandise	L	actor	the merchandise	curated	original	
the package	L	actor	the package	curated	original	
the product	L	actor	the product	curated	original	
the usual	L	actor	the usual	curated	original	
tickets	L	actor	tickets	dea-slang-2018	original	DEA drug proceeds
zip	L	actor	zip	dea-slang-2018	original	DEA quantity
