term	tier	speaker	concept	source	review	note
da habe ich ein schlechtes Gefühl	H	insider	this doesn't feel right	curated	mt-edited	
dafür bin ich nicht angetreten	H	insider	i didn't sign up for this	curated	mt-edited	
dafür habe ich nicht unterschrieben	H	insider	i didn't sign up for this	curated	mt-edited	
damit will ich nichts zu tun haben	H	insider	want no part of this	investigator-list	mt-edited	
das fehlt denen nicht	H	insider	won't miss it	investigator-list	mt-edited	
das fühlt sich falsch an	H	insider	this doesn't feel right	curated	mt-edited	
das machen doch alle	H	insider	everybody does it	curated	mt-edited	
das merken die nicht	H	insider	won't miss it	investigator-list	mt-edited	
das merken die nie	H	insider	they'll never notice	curated	mt-edited	
das steht mir zu	H	insider	they owe it to me	investigator-list	mt-edited	
das wird nie auffallen	H	insider	they'll never notice	curated	mt-edited	
das zahlen wir zurück	H	insider	we'll pay it back	curated	mt-edited	
davon hängt mein Bonus ab	H	insider	my bonus depends on this	ey-fbi-2013	mt-edited	
der Chef macht Druck	H	insider	bosses are pushing me	ey-fbi-2013	mt-edited	
die Behörde einschalten	H	accuser	go to the regulator	curated	mt-edited	
die Chefs machen Druck	H	insider	bosses are pushing me	ey-fbi-2013	mt-edited	
die schulden mir das	H	insider	they owe it to me	investigator-list	mt-edited	
die schulden mir was	H	insider	they owe me	ey-fbi-2013	mt-edited	
die zahlen mir zu wenig	H	insider	they don't pay me enough	ey-fbi-2013	mt-edited	
Druck von oben	H	insider	pressure from above	curated	mt-edited	
es geht um meinen Job	H	insider	my job is on the line	curated	mt-edited	
es kommt niemand zu Schaden	H	insider	nobody gets hurt	curated	mt-edited	
formal legal	H	insider	technically legal	curated	mt-edited	
ich habe nur Anweisungen befolgt	H	insider	just following orders	curated	mt-edited	
ich werde unter Druck gesetzt	H	insider	bosses are pushing me	ey-fbi-2013	mt-edited	
ich werde zu schlecht bezahlt	H	insider	they don't pay me enough	ey-fbi-2013	mt-edited	
ich will damit nichts zu tun haben	H	insider	want no part of this	investigator-list	mt-edited	
machen alle so	H	insider	everybody does it	curated	mt-edited	
mein Bonus hängt davon ab	H	insider	my bonus depends on this	ey-fbi-2013	mt-edited	
