term	tier	speaker	concept	source	review	note
Codewort*	H	actor	code word	curated	mt-edited	
Deckname*	H	actor	code word	curated	mt-edited	
die besprochene Sache	H	actor	the thing we discussed	curated	mt-edited	
die Sache, über die wir gesprochen haben	H	actor	the thing we discussed	curated	mt-edited	
wie persönlich besprochen	H	actor	as discussed in person	curated	mt-edited	
du weißt schon	M	actor	you know what i mean	curated	mt-edited	
du weißt schon wer	M	actor	you know who	curated	mt-edited	
du weißt, was ich meine	M	actor	you know what i mean	curated	mt-edited	
Sie wissen, was ich meine	M	actor	you know what i mean	curated	mt-edited	
unser Freund	M	actor	our friend	curated	mt-edited	
alles auf eine Karte setzen	L	actor	go for broke	fca-hsbc-fx	mt-edited	
das Päckchen	L	actor	the package	curated	mt-edited	
das Paket	L	actor	the package	curated	mt-edited	
das Produkt	L	actor	the product	curated	mt-edited	
das Übliche	L	actor	the usual	curated	mt-edited	
der Stoff	L	actor	the product	curated	mt-edited	
die Ware	L	actor	the goods	curated	mt-edited	
gemäß unserem Gespräch	L	actor	per our conversation	curated	mt-edited	
geschenktes Geld	L	actor	free money	fca-hsbc-fx	mt-edited	
Kennwort*	L	actor	code word	curated	mt-edited	
Knete	L	actor	bread	dea-slang-2018	mt-edited	
Kohle	L	actor	bread	dea-slang-2018	mt-edited	
Moos	L	actor	bread	dea-slang-2018	mt-edited	
unsere Sache	L	actor	the thing we discussed	curated	mt-edited	
wie besprochen	L	actor	as discussed in person	curated	mt-edited	
wie immer	L	actor	the usual	curated	mt-edited	
