term	tier	speaker	concept	source	review	note
el mawdo3 eyah	H	actor	the thing we discussed	curated	mt-edited	Arabizi, Egyptian
el mawdoo3 eyah	H	actor	the thing we discussed	curated	mt-edited	Arabizi, Egyptian
الشغلانة إياها	H	actor	the thing we discussed	curated	mt-edited	Egyptian
الموضوع إياه	H	actor	the thing we discussed	curated	mt-edited	Egyptian
حسب ما اتفقنا شفهيا	H	actor	as discussed in person	curated	mt-edited	
زي ما اتفقنا وجها لوجه	H	actor	as discussed in person	curated	mt-edited	
كلمة رمزية	H	actor	code word	curated	mt-edited	
كما اتفقنا شخصيا	H	actor	as discussed in person	curated	mt-edited	
enta fahemni	M	actor	you know what i mean	curated	mt-edited	Arabizi
fahem 2asdi	M	actor	you know what i mean	curated	mt-edited	Arabizi
إنت عارف مين	M	actor	you know who	curated	mt-edited	Egyptian
إنت فاهمني	M	actor	you know what i mean	curated	mt-edited	Egyptian
الأخ إياه	M	actor	you know who	curated	mt-edited	Egyptian
بتفهم علي	M	actor	you know what i mean	curated	mt-edited	Levantine
شيفرة	M	actor	codeword	curated	mt-edited	
صاحبنا	M	actor	our friend	curated	mt-edited	
صديقنا	M	actor	our friend	curated	mt-edited	
فاهم قصدي	M	actor	you know what i mean	curated	mt-edited	
الأمانة	L	actor	the package	curated	mt-edited	Gulf
البضاعة	L	actor	the merchandise	curated	mt-edited	
الطرد	L	actor	the package	curated	mt-edited	
المنتج	L	actor	the product	curated	mt-edited	
حسب اتفاقنا	L	actor	per our conversation	curated	mt-edited	
زي العادة	L	actor	the usual	curated	mt-edited	Egyptian
فلوس سهلة	L	actor	free money	fca-hsbc-fx	mt-edited	
كالعادة	L	actor	the usual	curated	mt-edited	
