term	tier	speaker	concept	source	review	note
ausländischer Geschäftspartner	H	actor	foreign business partner	spamassassin-advance-fee	mt-edited	
bestätigen Sie Ihr Konto	H	actor	verify your account	curated	mt-edited	
Bitcoin-Automat*	H	actor	virtual currency kiosk	fincen-pig-butchering	mt-edited	
computergestützte Ziehung	H	actor	computer ballot system	spamassassin-advance-fee	mt-edited	
Computerziehung*	H	actor	computer ballot system	spamassassin-advance-fee	mt-edited	
das Geld beanspruchen	H	actor	claim the money	spamassassin-advance-fee	mt-edited	
das Geld einfordern	H	actor	claim the money	spamassassin-advance-fee	mt-edited	
der verstorbene Präsident	H	actor	the late president	spamassassin-advance-fee	mt-edited	
des verstorbenen Präsidenten	H	actor	the late president	spamassassin-advance-fee	mt-edited	
die Gelder sichern	H	actor	secure the funds	spamassassin-advance-fee	mt-edited	
die Mittel sichern	H	actor	secure the funds	spamassassin-advance-fee	mt-edited	
Diplomatenkoffer*	H	actor	consignment box	curated	mt-edited	
Diplomatenkurier*	H	actor	diplomatic courier	curated	mt-edited	
diplomatische Transaktion	H	actor	diplomatic transaction	spamassassin-advance-fee	mt-edited	
diplomatischer Kurier	H	actor	diplomatic courier	curated	mt-edited	
dringend und vertraulich	H	actor	urgent and confidential	spamassassin-advance-fee	mt-edited	
du hast gewonnen	H	actor	you have won	curated	mt-edited	
Ehefrau des verstorbenen	H	actor	wife of the late	spamassassin-advance-fee	mt-edited	
ehrliche Zusammenarbeit	H	actor	honest cooperation	spamassassin-advance-fee	mt-edited	
entfernter Verwandter	H	actor	extended relative	spamassassin-advance-fee	mt-edited	
Entschädigungsfonds	H	actor	compensation fund	curated	mt-edited	
fordern Sie Ihren Gewinn an	H	actor	claim your prize	curated	mt-edited	
Freigabegebühr*	H	actor	clearance fee	curated	mt-edited	
garantierte Rendite*	H	actor	guaranteed returns	curated	mt-edited	
garantierter Gewinn	H	actor	guaranteed returns	curated	mt-edited	
Geld verdoppeln	H	actor	double your investment	curated	mt-edited	
Gewinn abholen	H	actor	claim your prize	curated	mt-edited	
Gewinnbenachrichtigung*	H	actor	award notification	spamassassin-advance-fee	mt-edited	
Gewinnmitteilung*	H	actor	award notification	spamassassin-advance-fee	mt-edited	
Google-Play-Karte*	H	actor	itunes card	curated	mt-edited	
herrenlose Gelder	H	actor	unclaimed funds	curated	mt-edited	
Ihr Geld verdoppeln	H	actor	double your investment	curated	mt-edited	
Ihr Konto wurde eingeschränkt	H	actor	your account has been suspended	curated	mt-edited	
Ihr Konto wurde gesperrt	H	actor	your account has been suspended	curated	mt-edited	
Ihren Gewinn einlösen	H	actor	claim your prize	curated	mt-edited	
iTunes-Karte*	H	actor	itunes card	curated	mt-edited	
Konto verifizieren	H	actor	verify your account	curated	mt-edited	
Krypto-Automat*	H	actor	virtual currency kiosk	fincen-pig-butchering	mt-edited	
lieber Begünstigter	H	actor	dear beneficiary	curated	mt-edited	
Lotteriekoordinator*	H	actor	lottery coordinator	spamassassin-advance-fee	mt-edited	
Millionen amerikanische Dollar	H	actor	million united states dollars	spamassassin-advance-fee	mt-edited	
Millionen US-Dollar	H	actor	million united states dollars	spamassassin-advance-fee	mt-edited	
nicht abgeholte Gelder	H	actor	unclaimed funds	curated	mt-edited	
nicht beanspruchte Gelder	H	actor	unclaimed funds	curated	mt-edited	
sehr geehrter Begünstigter	H	actor	dear beneficiary	curated	mt-edited	
Sendungsbox*	H	actor	consignment box	curated	mt-edited	
Sie haben gewonnen	H	actor	you have won	curated	mt-edited	
Sohn des verstorbenen	H	actor	son of the late	spamassassin-advance-fee	mt-edited	
Sohn des verstorbenen Präsidenten	H	actor	son of the late	spamassassin-advance-fee	mt-edited	
Treuhandagent*	H	actor	fiduciary agent	spamassassin-advance-fee	mt-edited	
treuhänderischer Vertreter	H	actor	fiduciary agent	spamassassin-advance-fee	mt-edited	
verdoppeln Sie Ihr Investment	H	actor	double your investment	curated	mt-edited	
verifizieren Sie Ihr Konto	H	actor	verify your account	curated	mt-edited	
