term	tier	speaker	concept	source	review	note
אני לא רוצה שום קשר לזה	H	insider	want no part of this	investigator-list	mt-edited	dissent
אף אחד לא נפגע	H	insider	nobody gets hurt	curated	mt-edited	
הבונוס שלי תלוי בזה	H	insider	my bonus depends on this	ey-fbi-2013	mt-edited	pressure
הבוס לוחץ עליי	H	insider	bosses are pushing me	ey-fbi-2013	mt-edited	pressure
הבוסים לוחצים עליי	H	insider	bosses are pushing me	ey-fbi-2013	mt-edited	pressure
הם חייבים לי	H	insider	they owe me	ey-fbi-2013	mt-edited	rationalisation
הם לא ישימו לב	H	insider	they'll never notice	curated	mt-edited	
המשרה שלי בסכנה	H	insider	my job is on the line	curated	mt-edited	
העבודה שלי על הכף	H	insider	my job is on the line	curated	mt-edited	
זה לא מרגיש נכון	H	insider	this doesn't feel right	curated	mt-edited	
זה לא פוגע באף אחד	H	insider	not hurting anyone	investigator-list	mt-edited	rationalisation (victimless)
זה מגיע לי	H	insider	they owe it to me	investigator-list	mt-edited	rationalisation (entitlement)
חוקי מבחינה טכנית	H	insider	technically legal	curated	mt-edited	
כולם עושים את זה	H	insider	everybody does it	curated	mt-edited	
לא בשביל זה באתי	H	insider	i didn't sign up for this	curated	mt-edited	
לא יחסר להם	H	insider	won't miss it	investigator-list	mt-edited	rationalisation (victimless)
לא משלמים לי מספיק	H	insider	they don't pay me enough	ey-fbi-2013	mt-edited	rationalisation
לא רוצה להיות חלק מזה	H	insider	want no part of this	investigator-list	mt-edited	dissent
לחץ מלמעלה	H	insider	pressure from above	curated	mt-edited	
ללכת לרגולטור	H	accuser	go to the regulator	curated	mt-edited	
לפנות לרגולטור	H	accuser	go to the regulator	curated	mt-edited	
משהו פה לא מריח טוב	H	insider	this doesn't feel right	curated	mt-edited	
נחזיר את הכסף	H	insider	we'll pay it back	curated	mt-edited	
נחזיר את זה	H	insider	we'll pay it back	curated	mt-edited	
רק ביצעתי הוראות	H	insider	just following orders	curated	mt-edited	
רק לוקח בהלוואה	H	insider	just borrowing	curated	mt-edited	
רק מילאתי פקודות	H	insider	just following orders	curated	mt-edited	
אין לי ברירה	M	insider	i have no choice	curated	mt-edited	
אין לנו זכות	M	insider	don't have the right	investigator-list	mt-edited	
אני לא מסכים עם הגישה הזו	M	accuser	i disagree with this approach	cftc-barclays-libor	mt-edited	dissent
אני לא רגוע	M	insider	i'm uneasy	curated	mt-edited	
אני מסרב	M	accuser	i refuse to	curated	mt-edited	
אני מסרבת	M	accuser	i refuse to	curated	mt-edited	
אני מתנגד	M	accuser	i object	curated	mt-edited	
אני מתנגדת	M	accuser	i object	curated	mt-edited	
בעיית תזרים	M	insider	cash crunch	curated	mt-edited	
דגל אדום	M	accuser	red flag	investigator-list	mt-edited	also compliance vocabulary
הוא אמר לי לעשות את זה	M	insider	told me to	investigator-list	mt-edited	pressure, or the defence of following orders
הורו לי	M	insider	i was instructed to	curated	mt-edited	
היעד גבוה מאוד	M	insider	the goal is very high	ey-fbi-2013	mt-edited	pressure
הערת עסק חי	M	accuser	going concern	curated	mt-edited	the auditor's going-concern note
השקעה כושלת	M	insider	failed investment	investigator-list	mt-edited	
זה לא בסדר	M	insider	this isn't right	curated	mt-edited	
חושף שחיתויות	M	accuser	whistleblower	curated	mt-edited	
חושפת שחיתויות	M	accuser	whistleblower	curated	mt-edited	
חציית קו אדום	M	insider	crossing the line	curated	mt-edited	
לא אתי	M	accuser	not ethical	investigator-list	mt-edited	dissent
לא מוסרי	M	accuser	not ethical	investigator-list	mt-edited	dissent
לא מרגיש לי נוח	M	insider	not comfortable	investigator-list	mt-edited	dissent
לא נוח לי	M	insider	not comfortable	investigator-list	mt-edited	dissent
לחצות את הקו	M	insider	crossing the line	curated	mt-edited	
לכסות את עצמי	M	insider	cover myself	curated	mt-edited	
ללא קורבנות	M	insider	victimless	curated	mt-edited	
לעמוד ביעדים	M	insider	reach the numbers	ey-fbi-2013	mt-edited	pressure
מצוקת מזומנים	M	insider	cash crunch	curated	mt-edited	
קו חם לחושפי שחיתויות	M	accuser	whistleblower hotline	ey-fbi-2013	mt-edited	
קיבלתי הוראה	M	insider	i was instructed to	curated	mt-edited	
רק הפעם	M	insider	just this once	curated	mt-edited	
שטח אפור	M	insider	grey area	investigator-list	mt-edited	rationalisation
שיירשם בפרוטוקול	M	insider	i want it noted	curated	mt-edited	
בחוסר רצון	L	insider	reluctantly	cftc-barclays-libor	mt-edited	LIBOR
בלי חרטות	L	insider	no regrets	investigator-list	mt-edited	
חשוד	L	accuser	suspicious	investigator-list	mt-edited	also a suspect
חששות רציניים	L	accuser	serious concerns	cftc-barclays-libor	mt-edited	dissent
לפרוטוקול	L	insider	for the record	curated	mt-edited	
מביך	L	insider	embarrassing	investigator-list	mt-edited	
פושט רגל	L	insider	bankrupt	investigator-list	mt-edited	also pressure
פרצה בחוק	L	insider	loophole	curated	mt-edited	
