term	tier	speaker	concept	source	review	note
אין באמור כדי לגרוע מזכויות מרשי	H	neutral	reserve our rights	curated	mt-edited	
אנו מייצגים את	H	neutral	we act for	curated	mt-edited	
בשם מרשי	H	neutral	on behalf of our client	curated	mt-edited	
בשם מרשינו	H	neutral	on behalf of our client	curated	mt-edited	
בשם מרשתי	H	neutral	on behalf of our client	curated	mt-edited	
בשם מרשתנו	H	neutral	on behalf of our client	curated	mt-edited	
דרישה לחדול	H	accuser	cease and desist	curated	mt-edited	
הח״מ מייצג את	H	neutral	we act for	curated	mt-edited	
הנך נדרש לחדול	H	accuser	cease and desist	curated	mt-edited	
הננו לדרוש	H	neutral	we hereby demand	curated	mt-edited	
הנני לדרוש	H	neutral	we hereby demand	curated	mt-edited	
הריני לדרוש	H	neutral	we hereby demand	curated	mt-edited	
התראה לפני נקיטת הליכים משפטיים	H	neutral	letter before action	curated	mt-edited	
לשמור על כל המסמכים	H	neutral	preserve all documents	curated	mt-edited	
מבלי לגרוע מכל זכות	H	neutral	we reserve all rights	curated	mt-edited	
מבלי לגרוע מכל טענה	H	neutral	we reserve all rights	curated	mt-edited	
מיום קבלת מכתב זה	H	neutral	of the date of this letter	curated	mt-edited	
מכתב התראה	H	neutral	letter before action	curated	mt-edited	
ממועד מכתב זה	H	neutral	of the date of this letter	curated	mt-edited	
משרדנו מייצג את	H	neutral	we act for	curated	mt-edited	
נגיש תביעה	H	neutral	commencing proceedings	uk-cpr-pre-action	mt-edited	
ננקוט הליכים משפטיים	H	neutral	commencing proceedings	uk-cpr-pre-action	mt-edited	
נפעל בהליכים משפטיים	H	neutral	commencing proceedings	uk-cpr-pre-action	mt-edited	
הודעה רשמית	M	neutral	formal notice	curated	mt-edited	
הליכים משפטיים	M	neutral	legal proceedings	curated	mt-edited	
יישוב סכסוכים חלופי	M	neutral	alternative dispute resolution	uk-cpr-pre-action	mt-edited	
ללא התראה נוספת	M	neutral	without further notice	curated	mt-edited	
לנקוט בצעדים משפטיים	M	neutral	take legal action	curated	mt-edited	
מכתב דרישה	M	neutral	demand letter	curated	mt-edited	
מרשי	M	neutral	our client	curated	mt-edited	
מרשך	M	neutral	your client	curated	mt-edited	
מרשתי	M	neutral	our client	curated	mt-edited	
מרשתך	M	neutral	your client	curated	mt-edited	
משרד עורכי דין	M	neutral	attorneys at law	curated	mt-edited	
נקיטת צעדים משפטיים	M	neutral	take legal action	curated	mt-edited	
תוך 14 ימים	M	neutral	within 14 days	uk-cpr-pre-action	mt-edited	
תוך 7 ימים	M	neutral	within 14 days	uk-cpr-pre-action	mt-edited	the usual Israeli deadline
א.ג.נ	L	neutral	dear sir or madam	curated	mt-edited	
בכבוד רב	L	neutral	yours faithfully	curated	mt-edited	
