term	tier	speaker	concept	source	review	note
attaque généralisée ou systématique	H	accuser	widespread or systematic attack	rome-statute	mt-edited	art. 7
autres actes inhumains	H	accuser	other inhumane acts	rome-statute	mt-edited	art. 7-1-k
camp de filtration	H	accuser	filtration camp	curated	mt-edited	
camp de rééducation	H	accuser	re-education camp	curated	mt-edited	
camps de filtration	H	accuser	filtration camp	curated	mt-edited	
camps de rééducation	H	accuser	re-education camp	curated	mt-edited	
charnier*	H	accuser	mass grave	curated	mt-edited	
contre toute population civile	H	accuser	attack directed against any civilian population	rome-statute	mt-edited	art. 7
crime d'apartheid	H	accuser	crime of apartheid	rome-statute	mt-edited	
disparition forcée*	H	accuser	enforced disappearance	rome-statute	mt-edited	
disparitions forcées	H	accuser	enforced disappearance	rome-statute	mt-edited	
escadron de la mort	H	accuser	death squad	curated	mt-edited	
escadrons de la mort	H	accuser	death squad	curated	mt-edited	
esclavage sexuel	H	accuser	sexual slavery	rome-statute	mt-edited	
exécution de masse	H	accuser	mass execution	curated	mt-edited	
exécution extrajudiciaire	H	accuser	extrajudicial execution	curated	mt-edited	
exécutions de masse	H	accuser	mass execution	curated	mt-edited	
exécutions extrajudiciaires	H	accuser	extrajudicial execution	curated	mt-edited	
fosse commune	H	accuser	mass grave	curated	mt-edited	
fosses communes	H	accuser	mass grave	curated	mt-edited	
grossesse forcée	H	accuser	forced pregnancy	rome-statute	mt-edited	
généralisée et systématique	H	accuser	widespread or systematic attack	curated	mt-edited	
nettoyage ethnique	H	accuser	ethnic cleansing	curated	mt-edited	
privation grave de liberté physique	H	accuser	severe deprivation of physical liberty	rome-statute	mt-edited	art. 7-1-e
stérilisation forcée	H	accuser	enforced sterilization	rome-statute	mt-edited	
stérilisations forcées	H	accuser	enforced sterilization	curated	mt-edited	
transfert forcé de population	H	accuser	forcible transfer of population	rome-statute	mt-edited	art. 7-1-d
viol de masse	H	accuser	mass rape	curated	mt-edited	
viols de masse	H	accuser	mass rape	curated	mt-edited	
viols systématiques	H	accuser	systematic rape	curated	mt-edited	
épuration ethnique	H	accuser	ethnic cleansing	curated	mt-edited	
camp d'internement	M	accuser	internment camp	curated	mt-edited	
camp de concentration	M	accuser	concentration camp	curated	mt-edited	also history teaching
camps d'internement	M	accuser	internment camp	curated	mt-edited	
camps de concentration	M	accuser	concentration camp	curated	mt-edited	also history teaching
centre de détention secret	M	accuser	secret detention	curated	mt-edited	
crime contre l'humanité	M	accuser	crimes against humanity	rome-statute	mt-edited	
crimes contre l'humanité	M	accuser	crimes against humanity	rome-statute	mt-edited	also news and history
déplacement forcé	M	accuser	forcible transfer of population	curated	mt-edited	
déplacements forcés	M	accuser	forcible transfer of population	curated	mt-edited	
détention arbitraire	M	accuser	arbitrary detention	curated	mt-edited	
détention au secret	M	accuser	incommunicado	curated	mt-edited	
réduction en esclavage	M	accuser	enslavement	rome-statute	mt-edited	
travail forcé	M	accuser	forced labour	curated	mt-edited	also human-trafficking and supply-chain compliance
travaux forcés	M	accuser	forced labour	curated	mt-edited	also an old penal sentence
tuerie de masse	M	accuser	mass killing	curated	mt-edited	
tueries de masse	M	accuser	mass killing	curated	mt-edited	
persécution*	L	accuser	persecution	rome-statute	mt-edited	also religious history and everyday speech
prisonniers politiques	L	accuser	political prisoners	curated	mt-edited	
