term	tier	speaker	concept	source	review	note
биологические эксперименты	H	accuser	biological experiments	rome-statute	mt-edited	
бочковая бомба	H	accuser	barrel bomb	curated	mt-edited	
бочковые бомбы	H	accuser	barrel bomb	curated	mt-edited	
в качестве способа ведения войны	H	accuser	starvation as a method of warfare	rome-statute	mt-edited	ст. 8 2 b) xxv)
в плен не брать	H	actor	no quarter	curated	mt-edited	
вероломство	H	accuser	perfidy	rome-statute	mt-edited	
взятие заложников	H	accuser	taking of hostages	rome-statute	mt-edited	
детей-солдат	H	accuser	child soldiers	curated	mt-edited	
дети-солдаты	H	accuser	child soldiers	curated	mt-edited	
живого щита	H	accuser	human shields	rome-statute	mt-edited	
живой щит	H	accuser	human shields	rome-statute	mt-edited	
живые щиты	H	accuser	human shields	rome-statute	mt-edited	
живым щитом	H	accuser	human shields	rome-statute	mt-edited	
законов и обычаев войны	H	accuser	laws and customs of war	rome-statute	mt-edited	
изнасилование как оружие войны	H	accuser	rape as a weapon of war	curated	mt-edited	
казнь без суда	H	accuser	summary execution	rome-statute	mt-edited	
нападения на гражданское население	H	accuser	attack on civilians	rome-statute	mt-edited	
нападения на гуманитарных работников	H	accuser	attack on humanitarian workers	rome-statute	mt-edited	
неизбирательные обстрелы	H	accuser	indiscriminate attack	curated	mt-edited	
неизбирательные удары	H	accuser	indiscriminate attack	curated	mt-edited	
неизбирательный обстрел	H	accuser	indiscriminate attack	curated	mt-edited	
никого не оставлять в живых	H	actor	no quarter	curated	mt-edited	
обстрел больницы	H	accuser	attack on hospitals	curated	mt-edited	
обстрел жилых кварталов	H	accuser	indiscriminate attack	curated	mt-edited	
обстрел мирных жителей	H	accuser	attack on civilians	curated	mt-edited	
отравленное оружие	H	accuser	poisoned weapons	rome-statute	mt-edited	
пленных не брать	H	actor	no quarter	curated	mt-edited	
посягательство на человеческое достоинство	H	accuser	outrages upon personal dignity	rome-statute	mt-edited	
пощады не будет	H	actor	no quarter	rome-statute	mt-edited	
препятствование доставке гуманитарной помощи	H	accuser	starvation as a method of warfare	rome-statute	mt-edited	
расстрел пленных	H	accuser	killing prisoners	curated	mt-edited	
расстрелять пленных	H	actor	killing prisoners	curated	mt-edited	
ребенок-солдат	H	accuser	child soldiers	curated	mt-edited	
сексуальное насилие в условиях конфликта	H	accuser	conflict-related sexual violence	curated	mt-edited	
серьезные нарушения женевских конвенций	H	accuser	grave breaches	rome-statute	mt-edited	
удар по больнице	H	accuser	attack on hospitals	curated	mt-edited	
удар по гуманитарному конвою	H	accuser	attack on humanitarian workers	curated	mt-edited	
удары по больницам	H	accuser	attack on hospitals	curated	mt-edited	
удары по мирным жителям	H	accuser	attack on civilians	curated	mt-edited	
удушающие газы	H	accuser	asphyxiating gases	rome-statute	mt-edited	
унизительное и оскорбительное обращение	H	accuser	outrages upon personal dignity	rome-statute	mt-edited	
химическая атака	H	accuser	chemical attack	curated	mt-edited	
химической атаки	H	accuser	chemical attack	curated	mt-edited	
явно несоизмерим*	H	accuser	disproportionate attack	rome-statute	mt-edited	ст. 8 2 b) iv)
без суда и следствия	M	accuser	summary execution	curated	mt-edited	also an idiom
белый фосфор	M	accuser	white phosphorus	curated	mt-edited	also chemistry
вербовка детей	M	accuser	child soldiers	curated	mt-edited	
вероломно	M	accuser	perfidy	rome-statute	mt-edited	
военная необходимость	M	neutral	military necessity	rome-statute	mt-edited	
военное преступление	M	accuser	war crimes	rome-statute	mt-edited	also history and news of any conflict
военные преступления	M	accuser	war crimes	rome-statute	mt-edited	also history and news of any conflict
военные преступники	M	accuser	war criminal	curated	mt-edited	
военный преступник	M	accuser	war criminal	curated	mt-edited	
военных преступлений	M	accuser	war crimes	rome-statute	mt-edited	
выжженная земля	M	actor	scorched earth	curated	mt-edited	
выжженной земли	M	actor	scorched earth	curated	mt-edited	
