term	tier	speaker	concept	source	review	note
Angriff auf das Krankenhaus	H	accuser	attack on hospitals	rome-statute	mt-edited	
Angriff auf den Hilfskonvoi	H	accuser	attack on humanitarian workers	rome-statute	mt-edited	
Angriff auf die Zivilbevölkerung	H	accuser	attack on civilians	vstgb	mt-edited	
Angriff auf Zivilisten	H	accuser	attack on civilians	curated	mt-edited	
Angriffe auf Helfer	H	accuser	attack on humanitarian workers	rome-statute	mt-edited	
Angriffe auf Krankenhäuser	H	accuser	attack on hospitals	rome-statute	mt-edited	
Angriffe auf Zivilisten	H	accuser	attack on civilians	curated	mt-edited	
Angriffe gegen die Zivilbevölkerung	H	accuser	attack on civilians	vstgb	mt-edited	§ 11 VStGB
Aushungern als Methode der Kriegführung	H	accuser	starvation as a method of warfare	vstgb	mt-edited	§ 11 Abs. 1 Nr. 5 VStGB
Aushungern der Zivilbevölkerung	H	accuser	starvation as a method of warfare	curated	mt-edited	
außer Verhältnis zu dem	H	accuser	disproportionate attack	vstgb	mt-edited	§ 11 Abs. 1 Nr. 3 VStGB
Behinderung von Hilfslieferungen	H	accuser	starvation as a method of warfare	rome-statute	mt-edited	
Beschuss von Wohngebieten	H	accuser	indiscriminate attack	curated	mt-edited	
biologische Experimente	H	accuser	biological experiments	rome-statute	mt-edited	
Bombardierung von Krankenhäusern	H	accuser	attack on hospitals	curated	mt-edited	
Chemiewaffenangriff*	H	accuser	chemical attack	curated	mt-edited	
Chlorgasangriff*	H	accuser	chemical attack	curated	mt-edited	
die Gefangenen erschießen	H	actor	killing prisoners	curated	mt-edited	
die Gefangenen töten	H	actor	killing prisoners	curated	mt-edited	
entwürdigende oder erniedrigende Behandlung	H	accuser	outrages upon personal dignity	vstgb	mt-edited	§ 8 Abs. 1 Nr. 9 VStGB
erschießt die Gefangenen	H	actor	killing prisoners	curated	mt-edited	
Fassbombe*	H	accuser	barrel bomb	curated	mt-edited	
Giftgasangriff*	H	accuser	chemical attack	curated	mt-edited	
Hinrichtung ohne Gerichtsverfahren	H	accuser	summary execution	rome-statute	mt-edited	
Kindersoldat*	H	accuser	child soldiers	curated	mt-edited	
konfliktbezogene sexuelle Gewalt	H	accuser	conflict-related sexual violence	curated	mt-edited	
menschliche Schutzschilde	H	accuser	human shields	vstgb	mt-edited	
menschlicher Schutzschild	H	accuser	human shields	vstgb	mt-edited	
menschliches Schutzschild	H	accuser	human shields	curated	mt-edited	
nicht durch militärische Notwendigkeit gerechtfertigt	H	accuser	wanton destruction	rome-statute	mt-edited	
niemanden am Leben lassen	H	actor	no quarter	curated	mt-edited	
Pardon wird nicht gegeben	H	actor	no quarter	vstgb	mt-edited	§ 11 Abs. 1 Nr. 4 VStGB
Perfidie	H	accuser	perfidy	curated	mt-edited	
schwere Verletzungen der Genfer Abkommen	H	accuser	grave breaches	rome-statute	mt-edited	
sexualisierte Gewalt in Konflikten	H	accuser	conflict-related sexual violence	curated	mt-edited	
standrechtlich erschossen	H	accuser	summary execution	curated	mt-edited	
standrechtliche Erschießung*	H	accuser	summary execution	curated	mt-edited	
unterschiedslose Angriffe	H	accuser	indiscriminate attack	curated	mt-edited	
unverhältnismäßige Angriffe	H	accuser	disproportionate attack	curated	mt-edited	
unverhältnismäßiger Angriff	H	accuser	disproportionate attack	curated	mt-edited	
Vergewaltigung als Kriegswaffe	H	accuser	rape as a weapon of war	curated	mt-edited	
vergiftete Waffen	H	accuser	poisoned weapons	vstgb	mt-edited	
