term	tier	speaker	concept	source	review	note
act of genocide	H	accuser	act of genocide	genocide-convention	original	
acts of genocide	H	accuser	acts of genocide	genocide-convention	original	
complicity in genocide	H	accuser	complicity in genocide	genocide-convention	original	
conditions of life calculated to bring about	H	accuser	conditions of life calculated to bring about	rome-statute	original	Art. 6(c)
conspiracy to commit genocide	H	accuser	conspiracy to commit genocide	genocide-convention	original	
crime of genocide	H	accuser	crime of genocide	genocide-convention	original	
cut the tall trees	H	actor	cut the tall trees	curated	original	Rwanda, radio code for killing Tutsi
destruction of the group	H	accuser	destruction of the group	rome-statute	original	
direct and public incitement	H	accuser	direct and public incitement	rome-statute	original	Art. 25(3)(e)
exterminate them	H	actor	exterminate them	un-atrocity-framework	original	call to destroy a group
extermination camp*	H	accuser	extermination camp*	curated	original	
forcible transfer of children	H	accuser	forcible transfer of children	genocide-convention	original	
forcibly transferring children	H	accuser	forcibly transferring children	rome-statute	original	Art. 6(e)
genocidal intent	H	accuser	genocidal intent	curated	original	
incitement to genocide	H	accuser	incitement to genocide	curated	original	
intent to destroy	H	accuser	intent to destroy	rome-statute	original	the element that separates genocide from other mass crimes
kill them all	H	actor	kill them all	un-atrocity-framework	original	call to destroy a group; also hyperbole
killing members of the group	H	accuser	killing members of the group	rome-statute	original	Art. 6(a)
measures intended to prevent births	H	accuser	measures intended to prevent births	rome-statute	original	Art. 6(d)
national, ethnic, racial or religious group	H	accuser	national, ethnic, racial or religious group	curated	original	
national, ethnical, racial or religious group	H	accuser	national, ethnical, racial or religious group	rome-statute	original	Art. 6
none of them should survive	H	actor	none of them should survive	curated	original	
not one of them left	H	actor	not one of them left	curated	original	
prevent births within the group	H	accuser	prevent births within the group	rome-statute	original	Art. 6(d)
prevention of births	H	accuser	prevention of births	genocide-convention	original	
rid the land of	H	actor	rid the land of	curated	original	
serious bodily or mental harm	H	accuser	serious bodily or mental harm	rome-statute	original	Art. 6(b)
wipe them off the face of the earth	H	actor	wipe them off the face of the earth	un-atrocity-framework	original	call to destroy a group
wipe them off the map	H	actor	wipe them off the map	un-atrocity-framework	original	call to destroy a group
wipe them out	H	actor	wipe them out	un-atrocity-framework	original	call to destroy a group; also games and sport
because of their ethnicity	M	accuser	because of their ethnicity	curated	original	
cleanse the land	M	actor	cleanse the land	curated	original	
death camp*	M	accuser	death camp*	curated	original	also history teaching
final solution	M	accuser	final solution	curated	original	Holocaust; also an ordinary phrase
forced conversion*	M	accuser	forced conversion*	curated	original	
genocid*	M	accuser	genocid*	rome-statute	original	genocide, genocidal, genocidaire; also political and historical argument
genocide convention	M	accuser	genocide convention	genocide-convention	original	
genocide denial	M	accuser	genocide denial	curated	original	
holodomor	M	accuser	holodomor	curated	original	
inyenzi	M	actor	inyenzi	curated	original	Kinyarwanda for cockroaches, the Rwanda propaganda word for Tutsi
lebensraum	M	actor	lebensraum	curated	original	
porajmos	M	accuser	porajmos	curated	original	
racial purity	M	actor	racial purity	curated	original	
shoah	M	accuser	shoah	curated	original	
subhuman	M	actor	subhuman	un-atrocity-framework	original	dehumanising language
subhumans	M	actor	subhumans	un-atrocity-framework	original	dehumanising language
targeted for their ethnicity	M	accuser	targeted for their ethnicity	curated	original	
untermensch*	M	actor	untermensch*	curated	original	dehumanising language
cockroaches	L	actor	cockroaches	un-atrocity-framework	original	dehumanising language only beside other signals
holocaust	L	accuser	holocaust	curated	original	also history teaching and nuclear holocaust
vermin	L	actor	vermin	un-atrocity-framework	original	dehumanising language only beside other signals; also pest control
