term	tier	speaker	concept	source	review	note
el kol bi3mel keda	H	insider	everybody does it	curated	mt-edited	Arabizi, Egyptian
el kol bya3mel heik	H	insider	everybody does it	curated	mt-edited	Arabizi, Levantine
kolo bi3mel keda	H	insider	everybody does it	curated	mt-edited	Arabizi, Egyptian
أبلغ الجهة الرقابية	H	accuser	go to the regulator	curated	mt-edited	
أروح للجهة الرقابية	H	accuser	go to the regulator	curated	mt-edited	Egyptian
الإدارة تضغط علي	H	insider	bosses are pushing me	ey-fbi-2013	mt-edited	pressure
البونص بتاعي متوقف على ده	H	insider	my bonus depends on this	ey-fbi-2013	mt-edited	pressure
الجميع يفعل ذلك	H	insider	everybody does it	curated	mt-edited	
الكل بيعمل كده	H	insider	everybody does it	curated	mt-edited	Egyptian
الكل بيعمل هيك	H	insider	everybody does it	curated	mt-edited	Levantine
المدراء بيضغطوا عليا	H	insider	bosses are pushing me	ey-fbi-2013	mt-edited	pressure
الموضوع ده مش مريحني	H	insider	this doesn't feel right	curated	mt-edited	Egyptian
باخدها سلف	H	insider	just borrowing	curated	mt-edited	Egyptian
ده حقي	H	insider	they owe it to me	investigator-list	mt-edited	rationalisation (entitlement)
دول مديونين لي	H	insider	they owe me	ey-fbi-2013	mt-edited	rationalisation
سنرد المبلغ	H	insider	we'll pay it back	curated	mt-edited	
سنعيدها	H	insider	we'll pay it back	curated	mt-edited	
شغلي على المحك	H	insider	my job is on the line	curated	mt-edited	
ضغط من فوق	H	insider	pressure from above	curated	mt-edited	
ضغوط من الإدارة العليا	H	insider	pressure from above	curated	mt-edited	
قانوني تقنيا	H	insider	technically legal	curated	mt-edited	
قانوني من الناحية الفنية	H	insider	technically legal	curated	mt-edited	
كنت أنفذ الأوامر	H	insider	just following orders	curated	mt-edited	
كنت بنفذ الأوامر	H	insider	just following orders	curated	mt-edited	Egyptian
لا أريد أن أكون طرفا في هذا	H	insider	want no part of this	investigator-list	mt-edited	dissent
لا يؤذي أحدا	H	insider	not hurting anyone	investigator-list	mt-edited	rationalisation (victimless)
لن يتضرر أحد	H	insider	nobody gets hurt	curated	mt-edited	
لن يلاحظوا	H	insider	they'll never notice	curated	mt-edited	
مجرد تنفيذ أوامر	H	insider	just following orders	curated	mt-edited	
مجرد سلفة	H	insider	just borrowing	curated	mt-edited	
محدش هيتضر	H	insider	nobody gets hurt	curated	mt-edited	Egyptian
مش بيأذي حد	H	insider	not hurting anyone	investigator-list	mt-edited	Egyptian
مش بيدفعولي كفاية	H	insider	they don't pay me enough	ey-fbi-2013	mt-edited	Egyptian
مش ده اللي اتفقنا عليه	H	insider	i didn't sign up for this	curated	mt-edited	Egyptian
مش عايز أكون جزء من ده	H	insider	want no part of this	investigator-list	mt-edited	Egyptian
مش هياخدوا بالهم	H	insider	they'll never notice	curated	mt-edited	Egyptian
مش هيحسوا بيها	H	insider	won't miss it	investigator-list	mt-edited	Egyptian
هذا حقي	H	insider	they owe it to me	investigator-list	mt-edited	rationalisation (entitlement)
هذا لا يبدو صحيحا	H	insider	this doesn't feel right	curated	mt-edited	
هنرجعها	H	insider	we'll pay it back	curated	mt-edited	Egyptian
وظيفتي في خطر	H	insider	my job is on the line	curated	mt-edited	
mesh mertah	M	insider	not comfortable	investigator-list	mt-edited	Arabizi
mish mertah	M	insider	not comfortable	investigator-list	mt-edited	Arabizi
أحمي نفسي	M	insider	cover myself	curated	mt-edited	
أرفض أن	M	accuser	i refuse to	curated	mt-edited	
أريد تسجيل اعتراضي	M	insider	i want it noted	curated	mt-edited	
أزمة سيولة	M	insider	cash crunch	curated	mt-edited	
أشعر بعدم الارتياح	M	insider	i'm uneasy	curated	mt-edited	
أعترض	M	accuser	i object	curated	mt-edited	
أنا معترض	M	accuser	i object	curated	mt-edited	
اتقالي أعمل كده	M	insider	told me to	investigator-list	mt-edited	Egyptian
استثمار فاشل	M	insider	failed investment	investigator-list	mt-edited	
التارجت عالي	M	insider	the goal is very high	ey-fbi-2013	mt-edited	Egyptian
الهدف عالي جدا	M	insider	the goal is very high	ey-fbi-2013	mt-edited	pressure
بدون ضحايا	M	insider	victimless	curated	mt-edited	
تجاوز الخط	M	insider	crossing the line	curated	mt-edited	
تحقيق الأرقام	M	insider	reach the numbers	ey-fbi-2013	mt-edited	pressure
تلقيت تعليمات	M	insider	i was instructed to	curated	mt-edited	
خط الإبلاغ	M	accuser	whistleblower hotline	ey-fbi-2013	mt-edited	
ده مش صح	M	insider	this isn't right	curated	mt-edited	Egyptian
ضائقة مالية	M	insider	cash crunch	curated	mt-edited	
علامة حمراء	M	accuser	red flag	investigator-list	mt-edited	also compliance vocabulary
غير أخلاقي	M	accuser	not ethical	investigator-list	mt-edited	dissent
غير مرتاح	M	insider	not comfortable	investigator-list	mt-edited	dissent
كاشف فساد	M	accuser	whistleblower	curated	mt-edited	
لا أوافق على هذا النهج	M	accuser	i disagree with this approach	cftc-barclays-libor	mt-edited	dissent
لمرة واحدة بس	M	insider	just this once	curated	mt-edited	
ليس لدي خيار	M	insider	i have no choice	curated	mt-edited	
ما عندي خيار	M	insider	i have no choice	curated	mt-edited	
ماليش اختيار	M	insider	i have no choice	curated	mt-edited	Egyptian
مبدأ الاستمرارية	M	accuser	going concern	curated	mt-edited	
مبلغ عن المخالفات	M	accuser	whistleblower	curated	mt-edited	
مش أخلاقي	M	accuser	not ethical	investigator-list	mt-edited	dissent
مش مرتاح	M	insider	not comfortable	investigator-list	mt-edited	dissent
مش مرتاحة	M	insider	not comfortable	investigator-list	mt-edited	dissent
منطقة رمادية	M	insider	grey area	investigator-list	mt-edited	rationalisation
هذا ليس صوابا	M	insider	this isn't right	curated	mt-edited	
هذه المرة فقط	M	insider	just this once	curated	mt-edited	
ثغرة قانونية	L	insider	loophole	curated	mt-edited	
على مضض	L	insider	reluctantly	cftc-barclays-libor	mt-edited	LIBOR
للتسجيل	L	insider	for the record	curated	mt-edited	
محرج	L	insider	embarrassing	investigator-list	mt-edited	
مخاوف جدية	L	accuser	serious concerns	cftc-barclays-libor	mt-edited	dissent
مريب	L	accuser	suspicious	investigator-list	mt-edited	
مش ندمان	L	insider	no regrets	investigator-list	mt-edited	
مفلس	L	insider	bankrupt	investigator-list	mt-edited	also pressure
