term	tier	speaker	concept	source	review	note
أبيدوهم	H	actor	exterminate them	un-atrocity-framework	mt-edited	call to destroy a group
أحوال معيشية يقصد بها إهلاكها	H	accuser	conditions of life calculated to bring about	rome-statute	mt-edited	art. 6 c)
أعمال الإبادة الجماعية	H	accuser	acts of genocide	genocide-convention	mt-edited	
إلحاق ضرر جسدي أو عقلي جسيم	H	accuser	serious bodily or mental harm	rome-statute	mt-edited	art. 6 b)
اقتلوهم جميعا	H	actor	kill them all	un-atrocity-framework	mt-edited	call to destroy a group
الاشتراك في الإبادة الجماعية	H	accuser	complicity in genocide	genocide-convention	mt-edited	
التآمر لارتكاب الإبادة الجماعية	H	accuser	conspiracy to commit genocide	genocide-convention	mt-edited	
التحريض المباشر والعلني	H	accuser	direct and public incitement	rome-statute	mt-edited	art. 25 3 e)
التحريض على الإبادة الجماعية	H	accuser	incitement to genocide	curated	mt-edited	
امسحوهم من على الخريطة	H	actor	wipe them off the map	un-atrocity-framework	mt-edited	call to destroy a group
بقصد إهلاك	H	accuser	intent to destroy	rome-statute	mt-edited	art. 6
جريمة الإبادة الجماعية	H	accuser	crime of genocide	rome-statute	mt-edited	art. 5
جماعة قومية أو إثنية أو عرقية أو دينية	H	accuser	national, ethnical, racial or religious group	rome-statute	mt-edited	art. 6
قتل أفراد الجماعة	H	accuser	killing members of the group	rome-statute	mt-edited	art. 6 a)
قصد الإهلاك	H	accuser	intent to destroy	rome-statute	mt-edited	
لا تبقوا منهم أحدا	H	actor	none of them should survive	curated	mt-edited	
محوهم من الوجود	H	actor	wipe them off the face of the earth	un-atrocity-framework	mt-edited	call to destroy a group
معسكر إبادة	H	accuser	extermination camp*	curated	mt-edited	
معسكرات الإبادة	H	accuser	extermination camp*	curated	mt-edited	
منع الإنجاب داخل الجماعة	H	accuser	prevent births within the group	rome-statute	mt-edited	art. 6 d)
نقل أطفال الجماعة عنوة	H	accuser	forcibly transferring children	rome-statute	mt-edited	art. 6 e)
نية الإبادة	H	accuser	genocidal intent	curated	mt-edited	
أقل من البشر	M	actor	subhuman	un-atrocity-framework	mt-edited	dehumanising language
إبادة جماعية	M	accuser	genocid*	rome-statute	mt-edited	also political and historical argument
إكراه على تغيير الدين	M	accuser	forced conversion*	curated	mt-edited	
إنكار الإبادة الجماعية	M	accuser	genocide denial	curated	mt-edited	
اتفاقية منع الإبادة الجماعية	M	accuser	genocide convention	genocide-convention	mt-edited	
الإبادة الجماعية	M	accuser	genocid*	rome-statute	mt-edited	art. 6; also political and historical argument
الحل النهائي	M	accuser	final solution	curated	mt-edited	Holocaust; also an ordinary phrase
النقاء العرقي	M	actor	racial purity	curated	mt-edited	
بسبب انتمائهم العرقي	M	accuser	because of their ethnicity	curated	mt-edited	
جرائم الإبادة	M	accuser	genocid*	curated	mt-edited	
دون البشر	M	actor	subhuman	un-atrocity-framework	mt-edited	dehumanising language
على أساس عرقي	M	accuser	because of their ethnicity	curated	mt-edited	
معسكرات الموت	M	accuser	death camp*	curated	mt-edited	also history teaching
المحرقة	L	accuser	holocaust	curated	mt-edited	also any burning
الهولوكوست	L	accuser	holocaust	curated	mt-edited	also history teaching
جرذان	L	actor	vermin	un-atrocity-framework	mt-edited	dehumanising language only beside other signals
صراصير	L	actor	cockroaches	un-atrocity-framework	mt-edited	dehumanising language only beside other signals
