term	tier	speaker	concept	source	review	note
ha5rab betak	H	actor	ruin you	curated	mt-edited	Arabizi, Egyptian
hatendam	H	actor	you'll regret	curated	mt-edited	Arabizi, Egyptian
ra7 tendam	H	actor	you'll regret	curated	mt-edited	Arabizi, Levantine
بتندم	H	actor	you'll regret	curated	mt-edited	Gulf
حملة تشهير	H	accuser	smear campaign	investigator-list	mt-edited	
حملة تشويه	H	accuser	smear campaign	investigator-list	mt-edited	
راح دمرك	H	actor	ruin you	curated	mt-edited	Levantine
رح تندم	H	actor	you'll regret	curated	mt-edited	Levantine
سأدمرك	H	actor	ruin you	curated	mt-edited	
ستندم	H	actor	you will regret	curated	mt-edited	
هتندم	H	actor	you'll regret	curated	mt-edited	Egyptian
هخرب بيتك	H	actor	ruin you	curated	mt-edited	Egyptian
اخرس	M	actor	shut up	investigator-list	mt-edited	
اخرسي	M	actor	shut up	investigator-list	mt-edited	
اسكت	M	actor	shut up	investigator-list	mt-edited	
انقلع	M	actor	piss off	curated	mt-edited	Gulf and Levant
تبا لك	M	actor	screw you	curated	mt-edited	
تحرش	M	accuser	harass*	curated	mt-edited	
تشهير	M	accuser	disparag*	investigator-list	mt-edited	
تشويه السمعة	M	accuser	disparag*	investigator-list	mt-edited	
تلميحات	M	accuser	innuendo	investigator-list	mt-edited	
سد بوقك	M	actor	shut up	investigator-list	mt-edited	Egyptian
غور من وشي	M	actor	piss off	curated	mt-edited	Egyptian
في داهية	M	actor	screw you	curated	mt-edited	Egyptian
مضايقات	M	accuser	harass*	curated	mt-edited	
5ara	L	actor	shit	investigator-list	mt-edited	Arabizi
kos omak	L	actor	fuck	investigator-list	mt-edited	Arabizi
kos ommak	L	actor	fuck	investigator-list	mt-edited	Arabizi
ya 7mar	L	actor	asshole	investigator-list	mt-edited	Arabizi
ابن الكلب	L	actor	asshole	investigator-list	mt-edited	
حمار	L	actor	asshole	investigator-list	mt-edited	
خرا	L	actor	shit	investigator-list	mt-edited	
زفت	L	actor	shit	investigator-list	mt-edited	
شرموط	L	actor	asshole	investigator-list	mt-edited	
كس أمك	L	actor	fuck	investigator-list	mt-edited	
كلام فاضي	L	actor	bullshit	curated	mt-edited	
لا تلعب معي	L	actor	don't mess with	fca-hsbc-fx	mt-edited	FX
متلعبش معايا	L	actor	don't mess with	fca-hsbc-fx	mt-edited	Egyptian
منيك	L	actor	fuck	investigator-list	mt-edited	
يلعن أبوك	L	actor	fuck	investigator-list	mt-edited	
