term	tier	speaker	concept	source	review	note
como hablamos en persona	H	actor	as discussed in person	curated	mt-edited	
el tema que ya sabes	H	actor	the thing we discussed	curated	mt-edited	
lo que hablamos en persona	H	actor	as discussed in person	curated	mt-edited	
santo y seña	H	actor	code word	curated	mt-edited	
nuestro amigo	M	actor	our friend	curated	mt-edited	
palabra clave	M	actor	code word	curated	mt-edited	also keyword in search and SEO
tú me entiendes	M	actor	you know what i mean	curated	mt-edited	
ya sabes a qué me refiero	M	actor	you know what i mean	curated	mt-edited	
ya sabes quién	M	actor	you know who	curated	mt-edited	
conecte	L	actor	plug	dea-slang-2018	mt-edited	DEA source of supply, Mexico
cuerno de chivo	L	actor	chopper	dea-slang-2018	mt-edited	DEA firearm, Mexico
cuete	L	actor	straps	dea-slang-2018	mt-edited	DEA firearm, Mexico
dinero fácil	L	actor	free money	fca-hsbc-fx	mt-edited	
el encargo	L	actor	the goods	curated	mt-edited	
el paquete	L	actor	the package	curated	mt-edited	
el producto	L	actor	the product	curated	mt-edited	
feria	L	actor	bread	dea-slang-2018	mt-edited	DEA money, Mexico; also a fair
fierro	L	actor	straps	dea-slang-2018	mt-edited	DEA firearm
la merca	L	actor	the merchandise	curated	mt-edited	Argentina, cocaine
la mercancía	L	actor	the merchandise	curated	mt-edited	
ladrillo	L	actor	brick	dea-slang-2018	mt-edited	DEA quantity
lana	L	actor	bread	dea-slang-2018	mt-edited	DEA money, Mexico; also wool
lo de siempre	L	actor	the usual	curated	mt-edited	
lo que hablamos	L	actor	the thing we discussed	curated	mt-edited	
papel	L	actor	paper	dea-slang-2018	mt-edited	DEA money
según lo conversado	L	actor	per our conversation	curated	mt-edited	
todo o nada	L	actor	go for broke	fca-hsbc-fx	mt-edited	FX
varo	L	actor	bread	dea-slang-2018	mt-edited	DEA money, Mexico
