term	tier	speaker	concept	source	review	note
agent fiduciaire	H	actor	fiduciary agent	spamassassin-advance-fee	mt-edited	
arnaque à l'avance de frais	H	actor	advance fee	curated	mt-edited	
associé étranger	H	actor	foreign business partner	spamassassin-advance-fee	mt-edited	
avis d'attribution	H	actor	award notification	spamassassin-advance-fee	mt-edited	
avis de gain	H	actor	winning notification	curated	mt-edited	
avoirs non réclamés	H	actor	unclaimed funds	curated	mt-edited	
boîte de consignation	H	actor	consignment box	curated	mt-edited	
carte Google Play	H	actor	itunes card	curated	mt-edited	
carte iTunes	H	actor	itunes card	curated	mt-edited	
carte PCS	H	actor	itunes card	curated	mt-edited	
cher bénéficiaire	H	actor	dear beneficiary	curated	mt-edited	
colis diplomatique	H	actor	consignment box	curated	mt-edited	
collaboration honnête	H	actor	honest cooperation	spamassassin-advance-fee	mt-edited	
confirmez votre compte	H	actor	verify your account	curated	mt-edited	
coopération honnête	H	actor	honest cooperation	spamassassin-advance-fee	mt-edited	
coordinateur de loterie	H	actor	lottery coordinator	spamassassin-advance-fee	mt-edited	
coupon Transcash	H	actor	itunes card	curated	mt-edited	
courrier diplomatique	H	actor	diplomatic courier	curated	mt-edited	
distributeur de bitcoins	H	actor	virtual currency kiosk	fincen-pig-butchering	mt-edited	
doubler votre argent	H	actor	double your investment	curated	mt-edited	
doublez votre investissement	H	actor	double your investment	curated	mt-edited	
épouse du défunt	H	actor	wife of the late	spamassassin-advance-fee	mt-edited	
feu le président	H	actor	the late president	spamassassin-advance-fee	mt-edited	
fils de feu	H	actor	son of the late	spamassassin-advance-fee	mt-edited	
fils du défunt	H	actor	son of the late	spamassassin-advance-fee	mt-edited	
fonds de compensation	H	actor	compensation fund	curated	mt-edited	
fonds d'indemnisation	H	actor	compensation fund	curated	mt-edited	
fonds non réclamés	H	actor	unclaimed funds	curated	mt-edited	
frais à avancer	H	actor	advance fee	curated	mt-edited	
frais de déblocage	H	actor	clearance fee	curated	mt-edited	
frais de dédouanement	H	actor	clearance fee	curated	mt-edited	
fraude 419	H	actor	advance fee	curated	mt-edited	
gains garantis	H	actor	guaranteed returns	curated	mt-edited	
kiosque crypto	H	actor	virtual currency kiosk	fincen-pig-butchering	mt-edited	
le défunt président	H	actor	the late president	spamassassin-advance-fee	mt-edited	
millions de dollars américains	H	actor	million united states dollars	spamassassin-advance-fee	mt-edited	
notification de gain	H	actor	award notification	spamassassin-advance-fee	mt-edited	
parent éloigné	H	actor	extended relative	spamassassin-advance-fee	mt-edited	
partenaire d'affaires étranger	H	actor	foreign business partner	spamassassin-advance-fee	mt-edited	
proposition d'affaires confidentielle	H	actor	confidential business proposal	curated	mt-edited	
réclamer l'argent	H	actor	claim the money	spamassassin-advance-fee	mt-edited	
réclamer votre prix	H	actor	claim your prize	curated	mt-edited	
réclamez votre gain	H	actor	claim your prize	curated	mt-edited	
récupérer les fonds	H	actor	claim the money	spamassassin-advance-fee	mt-edited	
rendement garanti	H	actor	guaranteed returns	curated	mt-edited	
rendements garantis	H	actor	guaranteed returns	curated	mt-edited	
