term	tier	speaker	concept	source	review	note
אונסיטרל	H	neutral	uncitral	curated	mt-edited	
דיני אנגליה ווילס	H	neutral	laws of england and wales	curated	mt-edited	
הדין החל	H	neutral	governing law	curated	mt-edited	
הסמכות הבלעדית לבתי המשפט	H	neutral	exclusive jurisdiction of the courts of	curated	mt-edited	
יחול הדין הישראלי	H	neutral	governed by the laws of	curated	mt-edited	
יחולו דיני מדינת ישראל	H	neutral	governed by the laws of	curated	mt-edited	
לשכת המסחר הבינלאומית	H	neutral	icc arbitration	curated	mt-edited	
מושב הבוררות	H	neutral	seat of arbitration	curated	mt-edited	
מסכימים לסמכות השיפוט	H	neutral	submit to the jurisdiction	curated	mt-edited	
מקום הבוררות	H	neutral	seat of arbitration	curated	mt-edited	
סמכות השיפוט הבלעדית	H	neutral	exclusive jurisdiction	curated	mt-edited	
סמכות שיפוט בלעדית	H	neutral	exclusive jurisdiction	curated	mt-edited	
סמכות שיפוט ייחודית	H	neutral	exclusive jurisdiction	curated	mt-edited	
סמכות שיפוט לא ייחודית	H	neutral	non-exclusive jurisdiction	curated	mt-edited	
איי הבתולה הבריטיים	M	neutral	british virgin islands	curated	mt-edited	
איי קיימן	M	neutral	cayman islands	curated	mt-edited	
בג״ץ	M	neutral	high court	curated	mt-edited	the Israeli High Court of Justice
בית המשפט הגבוה לצדק	M	neutral	high court	curated	mt-edited	
בית המשפט המחוזי	M	neutral	district court	curated	mt-edited	
בית המשפט העליון	M	neutral	supreme court	curated	mt-edited	
בית משפט לערעורים	M	neutral	court of appeal	curated	mt-edited	
בית משפט מחוזי	M	neutral	district court	curated	mt-edited	
בית משפט עליון	M	neutral	supreme court	curated	mt-edited	
דיני מדינת ניו יורק	M	neutral	new york law	curated	mt-edited	
הדין האנגלי	M	neutral	english law	curated	mt-edited	
הדין השוויצרי	M	neutral	swiss law	curated	mt-edited	
מדינת דלאוור	M	neutral	state of delaware	curated	mt-edited	
בתי המשפט של	L	neutral	courts of	curated	mt-edited	
מקום השיפוט	L	neutral	venue	curated	mt-edited	
