term	tier	speaker	concept	source	review	note
הדבר ההוא	H	actor	the thing we discussed	curated	mt-edited	
כמו שדיברנו פנים אל פנים	H	actor	as discussed in person	curated	mt-edited	
כמו שסיכמנו בעל פה	H	actor	as discussed in person	curated	mt-edited	
מילת קוד	H	actor	code word	curated	mt-edited	
אתה יודע למה אני מתכוון	M	actor	you know what i mean	curated	mt-edited	
אתה יודע מי	M	actor	you know who	curated	mt-edited	
אתה מבין אותי	M	actor	you know what i mean	curated	mt-edited	
החבר שלנו	M	actor	our friend	curated	mt-edited	
העניין ההוא	M	actor	the thing we discussed	curated	mt-edited	
המוצר	L	actor	the product	curated	mt-edited	
חבילה	L	actor	the package	curated	mt-edited	
כסף קל	L	actor	free money	fca-hsbc-fx	mt-edited	
כרגיל	L	actor	the usual	curated	mt-edited	
לפי שיחתנו	L	actor	per our conversation	curated	mt-edited	
סחורה	L	actor	the merchandise	curated	mt-edited	
