term	tier	speaker	concept	source	review	note
אין בו כדי ליצור התחייבות משפטית	H	neutral	does not create legally binding obligations	curated	mt-edited	
אינו יוצר התחייבויות משפטיות מחייבות	H	neutral	does not create legally binding obligations	curated	mt-edited	
אינו מחייב מבחינה משפטית	H	neutral	not legally binding	curated	mt-edited	
אינו מחייב משפטית	H	neutral	not legally binding	curated	mt-edited	
בכפוף לחתימה על הסכם מחייב	H	neutral	subject to contract	curated	mt-edited	
כוונת הצדדים	H	neutral	the parties intend	curated	mt-edited	
לא מחייב משפטית	H	neutral	legally non-binding	mou-definition	mt-edited	
מזכר הבנות	H	neutral	memorandum of understanding	curated	mt-edited	
מכתב הבנות	H	neutral	letter of understanding	mou-definition	mt-edited	
מכתב כוונות	H	neutral	letter of intent	curated	mt-edited	
מכתב נוחות	H	neutral	letter of comfort	mou-definition	mt-edited	
מפגש רצונות	H	neutral	convergence of will	mou-definition	mt-edited	
סיכום עקרונות	H	neutral	heads of agreement	curated	mt-edited	
עיקרי הסכמות	H	neutral	heads of terms	curated	mt-edited	
קו פעולה משותף	H	neutral	intended common line of action	mou-definition	mt-edited	
הבעת עניין	M	neutral	expression of interest	curated	mt-edited	
הסכם ג׳נטלמנים	M	neutral	gentlemen's agreement	mou-definition	mt-edited	
הסכם מסגרת	M	neutral	framework agreement	curated	mt-edited	
הסכם שיתוף פעולה	M	neutral	cooperation agreement	curated	mt-edited	
טרם שיט	M	neutral	term sheet	curated	mt-edited	
לא מחייב	M	neutral	non-binding	curated	mt-edited	
באופן עקרוני	L	neutral	in principle	curated	mt-edited	
יעשה מאמץ	L	neutral	will endeavour	curated	mt-edited	
