term	tier	speaker	concept	source	review	note
actúa ya	H	neutral	act now	curated	mt-edited	
anular suscripción	H	neutral	unsubscribe	curated	mt-edited	
cancelar suscripción	H	neutral	unsubscribe	curated	mt-edited	
código promocional	H	neutral	promo code	curated	mt-edited	
darse de baja	H	neutral	unsubscribe	curated	mt-edited	
date de baja	H	neutral	unsubscribe	curated	mt-edited	
gestiona tus preferencias	H	neutral	manage your preferences	curated	mt-edited	
gestionar preferencias	H	neutral	manage your preferences	curated	mt-edited	
has recibido este correo porque	H	neutral	you are receiving this email because	curated	mt-edited	
la oferta termina	H	neutral	sale ends	curated	mt-edited	
la promoción termina	H	neutral	sale ends	curated	mt-edited	
oferta por tiempo limitado	H	neutral	limited time offer	curated	mt-edited	
preferencias de correo	H	neutral	email preferences	curated	mt-edited	
recibe este correo porque	H	neutral	you are receiving this email because	curated	mt-edited	
recibes este correo porque	H	neutral	you are receiving this email because	curated	mt-edited	
si no desea recibir	H	neutral	no longer wish to receive	curated	mt-edited	
si ya no desea recibir	H	neutral	no longer wish to receive	curated	mt-edited	
ver en el navegador	H	neutral	view in browser	curated	mt-edited	
ver este correo en tu navegador	H	neutral	view this email in your browser	curated	mt-edited	
compra ahora	M	neutral	buy now	curated	mt-edited	
compra ya	M	neutral	buy now	curated	mt-edited	
código de descuento	M	neutral	discount code	curated	mt-edited	
envío gratis	M	neutral	free shipping	curated	mt-edited	
envío gratuito	M	neutral	free shipping	curated	mt-edited	
haga clic aquí	M	neutral	click here	curated	mt-edited	
haz clic aquí	M	neutral	click here	curated	mt-edited	
no te lo pierdas	M	neutral	don't miss out	curated	mt-edited	
oferta especial	M	neutral	special offer	curated	mt-edited	
oferta exclusiva	M	neutral	exclusive deal	curated	mt-edited	
publicidad	M	neutral	advertisement	curated	mt-edited	
pulsa aquí	M	neutral	click here	curated	mt-edited	
boletín	L	neutral	newsletter	curated	mt-edited	
patrocinado	L	neutral	sponsored	curated	mt-edited	
seminario web	L	neutral	webinar	curated	mt-edited	
suscríbete	L	neutral	subscribe	curated	mt-edited	
