term	tier	speaker	concept	source	review	note
אני אגמור אותך	H	actor	ruin you	curated	mt-edited	
אני אהרוס אותך	H	actor	ruin you	curated	mt-edited	
את תצטערי	H	actor	you'll regret	curated	mt-edited	
אתה תצטער	H	actor	you'll regret	curated	mt-edited	
מסע הכפשה	H	accuser	smear campaign	investigator-list	mt-edited	
עוד תצטער על זה	H	actor	you will regret	curated	mt-edited	
קמפיין השמצה	H	accuser	smear campaign	investigator-list	mt-edited	
הטרדה	M	accuser	harass*	curated	mt-edited	
הכפשה	M	accuser	disparag*	investigator-list	mt-edited	
השמצה	M	accuser	disparag*	investigator-list	mt-edited	
להטריד	M	accuser	harass*	curated	mt-edited	
להשמיץ	M	accuser	disparag*	investigator-list	mt-edited	
לך לעזאזל	M	actor	piss off	curated	mt-edited	
לך תזדיין	M	actor	piss off	curated	mt-edited	
סתום ת'פה	M	actor	shut up	investigator-list	mt-edited	
רמיזות	M	accuser	innuendo	investigator-list	mt-edited	
שילך להזדיין	M	actor	screw you	curated	mt-edited	
תסתום	M	actor	shut up	investigator-list	mt-edited	
תשתוק	M	actor	shut up	investigator-list	mt-edited	
אל תתעסק איתי	L	actor	don't mess with	fca-hsbc-fx	mt-edited	FX
בן זונה	L	actor	asshole	investigator-list	mt-edited	
חרא	L	actor	shit	investigator-list	mt-edited	
כוס אמק	L	actor	fuck	investigator-list	mt-edited	
מניאק	L	actor	asshole	investigator-list	mt-edited	
קיבינימט	L	actor	fuck	investigator-list	mt-edited	
שטויות	L	actor	bullshit	curated	mt-edited	
