term	tier	speaker	concept	source	review	note
a mi correo personal	H	actor	use my personal email	curated	mt-edited	
barrer debajo de la alfombra	H	actor	sweep it under the rug	curated	mt-edited	
borra el disco duro	H	actor	wipe the drive	curated	mt-edited	
borra este correo	H	actor	delete this email	curated	mt-edited	
borra este mail	H	actor	delete this email	curated	mt-edited	
borrar después de leer	H	actor	delete after reading	curated	mt-edited	
borrar los registros	H	actor	scrub the records	curated	mt-edited	
bórralo después de leerlo	H	actor	delete after reading	curated	mt-edited	
celular desechable	H	actor	burner phone	curated	mt-edited	Latin America
deja a cumplimiento fuera de esto	H	actor	keep compliance out of it	curated	mt-edited	
destruye los documentos	H	actor	shred the documents	curated	mt-edited	
el jefe no pregunta	H	actor	bosses don't ask	ey-fbi-2013	mt-edited	opportunity
elimina este correo	H	actor	delete this email	curated	mt-edited	
envíalo a mi gmail	H	actor	send it to my gmail	curated	mt-edited	
escóndelo debajo de la alfombra	H	actor	sweep it under the rug	curated	mt-edited	
esto queda entre nosotros	H	actor	keep this between us	curated	mt-edited	
formatea el disco	H	actor	wipe the drive	curated	mt-edited	
guárdalo en secreto	H	actor	keep this a secret	nice-actimize-lexicon	mt-edited	
limpiar los registros	H	actor	scrub the records	curated	mt-edited	
llámame al otro celular	H	actor	call me on the other phone	curated	mt-edited	Latin America
llámame al otro móvil	H	actor	call me on the other phone	curated	mt-edited	Spain
llámame al otro teléfono	H	actor	call me on the other phone	curated	mt-edited	
los jefes no preguntan	H	actor	bosses don't ask	ey-fbi-2013	mt-edited	opportunity
mantengámoslo en secreto	H	actor	let's keep this a secret	nice-actimize-lexicon	mt-edited	
mantenlo en secreto	H	actor	keep this a secret	nice-actimize-lexicon	mt-edited	
mándalo a mi gmail	H	actor	send it to my gmail	curated	mt-edited	
móvil desechable	H	actor	burner phone	curated	mt-edited	Spain
nada por escrito	H	actor	don't put it in writing	curated	mt-edited	
nadie lo va a revisar	H	actor	no auditor will review it	ey-fbi-2013	mt-edited	opportunity
nadie se enterará	H	actor	nobody will find out	investigator-list	mt-edited	
nadie se va a enterar	H	actor	nobody will find out	investigator-list	mt-edited	
nadie tiene por qué saberlo	H	actor	nobody has to know	ey-fbi-2013	mt-edited	
nadie tiene que saberlo	H	actor	nobody has to know	ey-fbi-2013	mt-edited	
ningún auditor lo va a revisar	H	actor	no auditor will review it	ey-fbi-2013	mt-edited	opportunity
no dejes huella	H	actor	don't leave a trail	investigator-list	mt-edited	
