term	tier	speaker	concept	source	review	note
Abtretungsausschluss*	H	neutral	anti-assignment	cuad	mt-edited	
Abtretungsverbot*	H	neutral	anti-assignment	cuad	mt-edited	
Aktienkaufvertrag*	H	neutral	share purchase agreement	curated	mt-edited	
Anteilskaufvertrag*	H	neutral	share purchase agreement	curated	mt-edited	
bleiben nach Beendigung	H	neutral	survive termination	contractnli	mt-edited	
den Vertrag kündigen	H	neutral	terminate this agreement	curated	mt-edited	
die Parteien dieses Vertrages	H	neutral	the parties hereto	curated	mt-edited	
die Parteien vereinbaren	H	neutral	the parties agree	curated	mt-edited	
die Vertragsparteien	H	neutral	the parties hereto	curated	mt-edited	
diesen Vertrag kündigen	H	neutral	terminate this agreement	curated	mt-edited	
Garantien und Zusicherungen	H	neutral	representations and warranties	curated	mt-edited	
Geheimhaltungsvereinbarung*	H	neutral	confidentiality agreement	curated	mt-edited	
gelten über die Beendigung hinaus	H	neutral	survive termination	contractnli	mt-edited	
gesamte Vereinbarung	H	neutral	entire agreement	curated	mt-edited	
Haftungsbegrenzung*	H	neutral	limitation of liability	curated	mt-edited	
Haftungsbeschränkung*	H	neutral	limitation of liability	curated	mt-edited	
Haftungsdeckel*	H	neutral	cap on liability	cuad	mt-edited	
Haftungshöchstbetrag*	H	neutral	cap on liability	cuad	mt-edited	
Haftungsobergrenze*	H	neutral	cap on liability	cuad	mt-edited	
höhere Gewalt	H	neutral	force majeure	curated	mt-edited	
keine Nebenabreden	H	neutral	entire agreement	curated	mt-edited	
Kündigung ohne Grund	H	neutral	termination for convenience	curated	mt-edited	
Laufzeit des Vertrages	H	neutral	term of this agreement	curated	mt-edited	
Laufzeit dieses Vertrages	H	neutral	term of this agreement	curated	mt-edited	
Leistungen nach Vertragsende	H	neutral	post-termination services	cuad	mt-edited	
nachvertragliche Leistungen	H	neutral	post-termination services	cuad	mt-edited	
NDA	H	neutral	non-disclosure agreement	curated	mt-edited	
offenbarende Partei	H	neutral	disclosing party	contractnli	mt-edited	
offenlegende Partei	H	neutral	disclosing party	contractnli	mt-edited	
ordentliche Kündigung	H	neutral	termination for convenience	curated	mt-edited	
ordnungsgemäß bevollmächtigt	H	neutral	duly authorised	curated	mt-edited	
ordnungsgemäß unterzeichnet	H	neutral	duly executed	curated	mt-edited	
pauschalierter Schadensersatz	H	neutral	liquidated damages	curated	mt-edited	
Quellcode-Hinterlegung*	H	neutral	source code escrow	cuad	mt-edited	
