term	tier	speaker	concept	source	review	note
carta de confort	H	neutral	letter of comfort	mou-definition	mt-edited	
carta de entendimiento	H	neutral	letter of understanding	mou-definition	mt-edited	
carta de intenciones	H	neutral	letter of intent	curated	mt-edited	
carta de intención	H	neutral	letter of intent	curated	mt-edited	
carta de patrocinio	H	neutral	letter of comfort	mou-definition	mt-edited	
convergencia de voluntades	H	neutral	convergence of will	mou-definition	mt-edited	
es intención de las partes	H	neutral	the parties intend	curated	mt-edited	
jurídicamente no vinculante	H	neutral	legally non-binding	mou-definition	mt-edited	
las partes tienen la intención	H	neutral	the parties intend	curated	mt-edited	
línea de acción común	H	neutral	intended common line of action	mou-definition	mt-edited	
memorando de entendimiento	H	neutral	memorandum of understanding	curated	mt-edited	
memorándum de entendimiento	H	neutral	memorandum of understanding	curated	mt-edited	
no crea obligaciones jurídicamente vinculantes	H	neutral	does not create legally binding obligations	curated	mt-edited	
no creará ninguna obligación jurídicamente vinculante	H	neutral	shall not create any legally binding	curated	mt-edited	
no es jurídicamente vinculante	H	neutral	not legally binding	curated	mt-edited	
no genera obligaciones jurídicas	H	neutral	does not create legally binding obligations	curated	mt-edited	
sujeto a contrato	H	neutral	subject to contract	curated	mt-edited	
acuerdo de caballeros	M	neutral	gentlemen's agreement	mou-definition	mt-edited	
acuerdo de cooperación	M	neutral	cooperation agreement	curated	mt-edited	
acuerdo marco	M	neutral	framework agreement	curated	mt-edited	
convenio de colaboración	M	neutral	cooperation agreement	curated	mt-edited	
convenio marco	M	neutral	framework agreement	curated	mt-edited	
expresión de interés	M	neutral	expression of interest	curated	mt-edited	
hoja de términos	M	neutral	term sheet	curated	mt-edited	
manifestación de interés	M	neutral	expression of interest	curated	mt-edited	
no vinculante	M	neutral	non-binding	curated	mt-edited	
pacto de caballeros	M	neutral	gentlemen's agreement	mou-definition	mt-edited	
en principio	L	neutral	in principle	curated	mt-edited	
procurará	L	neutral	will endeavour	curated	mt-edited	
