term	tier	speaker	concept	source	review	note
биткоин-банкомат*	H	actor	virtual currency kiosk	fincen-pig-butchering	mt-edited	
вам выпал приз	H	actor	you have won	curated	mt-edited	
ваш аккаунт заблокирован	H	actor	your account has been suspended	curated	mt-edited	
ваш счет заблокирован	H	actor	your account has been suspended	curated	mt-edited	
ваша карта заблокирована	H	actor	your account has been suspended	curated	mt-edited	
вдова покойного	H	actor	wife of the late	spamassassin-advance-fee	mt-edited	
вы выиграли	H	actor	you have won	curated	mt-edited	
вы стали победителем	H	actor	you have won	curated	mt-edited	
гарантированная доходность	H	actor	guaranteed returns	curated	mt-edited	
гарантированная прибыль	H	actor	guaranteed returns	curated	mt-edited	
гарантированный доход	H	actor	guaranteed returns	curated	mt-edited	
дальний родственник	H	actor	extended relative	spamassassin-advance-fee	mt-edited	
дипкурьер*	H	actor	diplomatic courier	curated	mt-edited	
дипломатическая сделка	H	actor	diplomatic transaction	spamassassin-advance-fee	mt-edited	
дипломатический груз	H	actor	consignment box	curated	mt-edited	
дипломатический курьер	H	actor	diplomatic courier	curated	mt-edited	
доверенный агент	H	actor	fiduciary agent	spamassassin-advance-fee	mt-edited	
дорогой получатель	H	actor	dear beneficiary	curated	mt-edited	
жена покойного	H	actor	wife of the late	spamassassin-advance-fee	mt-edited	
заберите выигрыш	H	actor	claim your prize	curated	mt-edited	
зарубежный партнер	H	actor	foreign business partner	spamassassin-advance-fee	mt-edited	
извещение о выигрыше	H	actor	award notification	spamassassin-advance-fee	mt-edited	
иностранный партнер	H	actor	foreign business partner	spamassassin-advance-fee	mt-edited	
истребовать средства	H	actor	claim the money	spamassassin-advance-fee	mt-edited	
карта iTunes	H	actor	itunes card	curated	mt-edited	
комиссия за вывод	H	actor	clearance fee	curated	mt-edited	
компенсационный фонд	H	actor	compensation fund	curated	mt-edited	
компьютерная лотерея	H	actor	computer ballot system	spamassassin-advance-fee	mt-edited	
конфиденциальное деловое предложение	H	actor	confidential business proposal	curated	mt-edited	
координатор лотереи	H	actor	lottery coordinator	spamassassin-advance-fee	mt-edited	
коробка с деньгами	H	actor	consignment box	curated	mt-edited	
криптомат*	H	actor	virtual currency kiosk	fincen-pig-butchering	mt-edited	
миллионов долларов США	H	actor	million united states dollars	spamassassin-advance-fee	mt-edited	
невостребованные деньги	H	actor	unclaimed funds	curated	mt-edited	
невостребованные средства	H	actor	unclaimed funds	curated	mt-edited	
нигерийская схема	H	actor	advance fee	curated	mt-edited	
нигерийские письма	H	actor	advance fee	curated	mt-edited	
обезопасить средства	H	actor	secure the funds	spamassassin-advance-fee	mt-edited	
плата за разблокировку	H	actor	clearance fee	curated	mt-edited	
плата за растаможку	H	actor	clearance fee	curated	mt-edited	
подарочная карта Google Play	H	actor	itunes card	curated	mt-edited	
подтвердите данные карты	H	actor	verify your account	curated	mt-edited	
подтвердите свой аккаунт	H	actor	verify your account	curated	mt-edited	
подтвердите учетную запись	H	actor	verify your account	curated	mt-edited	
покойного президента	H	actor	the late president	spamassassin-advance-fee	mt-edited	
покойный президент	H	actor	the late president	spamassassin-advance-fee	mt-edited	
получите свой приз	H	actor	claim your prize	curated	mt-edited	
получить деньги	H	actor	claim the money	spamassassin-advance-fee	mt-edited	
получить приз	H	actor	claim your prize	curated	mt-edited	
сохранить средства	H	actor	secure the funds	spamassassin-advance-fee	mt-edited	
срочно и конфиденциально	H	actor	urgent and confidential	spamassassin-advance-fee	mt-edited	
сын покойного	H	actor	son of the late	spamassassin-advance-fee	mt-edited	
уважаемый бенефициар	H	actor	dear beneficiary	curated	mt-edited	
уведомление о выигрыше	H	actor	award notification	spamassassin-advance-fee	mt-edited	
удвойте вложения	H	actor	double your investment	curated	mt-edited	
удвоить вложения	H	actor	double your investment	curated	mt-edited	
удвоить деньги	H	actor	double your investment	curated	mt-edited	
фидуциарный агент	H	actor	fiduciary agent	spamassassin-advance-fee	mt-edited	
фонд компенсаций	H	actor	compensation fund	curated	mt-edited	
честное сотрудничество	H	actor	honest cooperation	spamassassin-advance-fee	mt-edited	
электронный розыгрыш	H	actor	computer ballot system	spamassassin-advance-fee	mt-edited	
100% безопасно	M	actor	100% safe	spamassassin-advance-fee	mt-edited	
без риска	M	actor	free of risk	spamassassin-advance-fee	mt-edited	
безрисков*	M	actor	free of risk	spamassassin-advance-fee	mt-edited	
ближайшие родственники	M	actor	next of kin	curated	mt-edited	
ближайший родственник	M	actor	next of kin	curated	mt-edited	
в качестве бенефициара	M	actor	as the beneficiary	spamassassin-advance-fee	mt-edited	
