term	tier	speaker	concept	source	review	note
achevez les prisonniers	H	actor	killing prisoners	curated	mt-edited	
affamer délibérément des civils	H	accuser	starvation as a method of warfare	rome-statute	mt-edited	art. 8-2-b-xxv
armes empoisonnées	H	accuser	poisoned weapons	rome-statute	mt-edited	
attaque chimique	H	accuser	chemical attack	curated	mt-edited	
attaque contre des civils	H	accuser	attack on civilians	curated	mt-edited	
attaque contre l'hôpital	H	accuser	attack on hospitals	rome-statute	mt-edited	
attaque disproportionnée	H	accuser	disproportionate attack	curated	mt-edited	
attaque indiscriminée	H	accuser	indiscriminate attack	curated	mt-edited	
attaques chimiques	H	accuser	chemical attack	curated	mt-edited	
attaques contre des civils	H	accuser	attack on civilians	curated	mt-edited	
attaques contre des hôpitaux	H	accuser	attack on hospitals	rome-statute	mt-edited	
attaques contre la population civile	H	accuser	attack on civilians	rome-statute	mt-edited	
attaques contre les humanitaires	H	accuser	attack on humanitarian workers	rome-statute	mt-edited	
attaques indiscriminées	H	accuser	indiscriminate attack	curated	mt-edited	
atteintes à la dignité de la personne	H	accuser	outrages upon personal dignity	rome-statute	mt-edited	
baril d'explosifs	H	accuser	barrel bomb	curated	mt-edited	
barils d'explosifs	H	accuser	barrel bomb	curated	mt-edited	
bombardement de l'hôpital	H	accuser	attack on hospitals	curated	mt-edited	
bombardement de zones résidentielles	H	accuser	indiscriminate attack	curated	mt-edited	
bombardements aveugles	H	accuser	indiscriminate attack	curated	mt-edited	
bouclier humain	H	accuser	human shields	rome-statute	mt-edited	
boucliers humains	H	accuser	human shields	rome-statute	mt-edited	
comme méthode de guerre	H	accuser	starvation as a method of warfare	rome-statute	mt-edited	
de manière illicite et arbitraire	H	accuser	wanton destruction	rome-statute	mt-edited	art. 8-2-a-iv
enfant soldat	H	accuser	child soldiers	curated	mt-edited	
enfants soldats	H	accuser	child soldiers	curated	mt-edited	
entraver l'envoi des secours	H	accuser	starvation as a method of warfare	rome-statute	mt-edited	
expériences biologiques	H	accuser	biological experiments	rome-statute	mt-edited	
exécutez les prisonniers	H	actor	killing prisoners	curated	mt-edited	
exécution sommaire	H	accuser	summary execution	curated	mt-edited	
exécutions sommaires	H	accuser	summary execution	curated	mt-edited	
frappes aveugles	H	accuser	indiscriminate attack	curated	mt-edited	
