term	tier	speaker	concept	source	review	note
אונס ככלי מלחמה	H	accuser	rape as a weapon of war	curated	mt-edited	
אונס כנשק מלחמה	H	accuser	rape as a weapon of war	curated	mt-edited	
אלימות מינית בסכסוכים	H	accuser	conflict-related sexual violence	curated	mt-edited	
בוגדנות	H	accuser	perfidy	rome-statute	mt-edited	
גזים מחניקים	H	accuser	asphyxiating	rome-statute	mt-edited	
הוצאה להורג בשטח	H	accuser	summary execution*	curated	mt-edited	
הוצאות להורג בשטח	H	accuser	summary execution*	curated	mt-edited	
המגן האנושי	H	accuser	human shield*	curated	mt-edited	definite form
המגנים האנושיים	H	accuser	human shield*	curated	mt-edited	definite form
הפגזת בית החולים	H	accuser	attacks on hospitals	curated	mt-edited	
הפגזת בית חולים	H	accuser	attacks on hospitals	curated	mt-edited	
הפגזת שכונות מגורים	H	accuser	shelling of residential areas	curated	mt-edited	
הפצצה ללא הבחנה	H	accuser	indiscriminate attack*	curated	mt-edited	
הפרות חמורות של אמנות ז׳נבה	H	accuser	grave breach*	rome-statute	mt-edited	
הרג שבויים	H	accuser	kill the prisoners	curated	mt-edited	
הריגה במתכוון	H	accuser	wilful killing	rome-statute	mt-edited	
הרס שאינו מוצדק על ידי הכרח צבאי	H	accuser	wanton destruction	il-nazi-law-1950	mt-edited	
הרס שרירותי	H	accuser	wanton destruction	il-nazi-law-1950	mt-edited	
הרעבה כשיטת לוחמה	H	accuser	starvation as a method of warfare	rome-statute	mt-edited	
הרעבת אזרחים	H	accuser	starvation of civilians	rome-statute	mt-edited	
התקפה כימית	H	accuser	chemical attack*	curated	mt-edited	
חוקי המלחמה ומנהגיה	H	accuser	laws and customs of war	curated	mt-edited	
חטיפת בני ערובה	H	accuser	hostage taking	curated	mt-edited	
יחס משפיל ומבזה	H	accuser	humiliating and degrading treatment	rome-statute	mt-edited	
ילדים חיילים	H	accuser	child soldier*	curated	mt-edited	
ילדים לוחמים	H	accuser	child soldier*	curated	mt-edited	
ירי ללא הבחנה	H	accuser	indiscriminate attack*	curated	mt-edited	
ירי על אזרחים	H	accuser	attack on civilians	curated	mt-edited	
