term	tier	speaker	concept	source	review	note
afficher dans votre navigateur	H	neutral	view in browser	curated	mt-edited	
agissez maintenant	H	neutral	act now	curated	mt-edited	
code promo	H	neutral	promo code	curated	mt-edited	
code promotionnel	H	neutral	promo code	curated	mt-edited	
derniers jours	H	neutral	sale ends	curated	mt-edited	
désabonnement	H	neutral	unsubscribe	curated	mt-edited	
désinscription	H	neutral	unsubscribe	curated	mt-edited	
fin des soldes	H	neutral	sale ends	curated	mt-edited	
gérer vos préférences	H	neutral	manage your preferences	curated	mt-edited	
gérez vos préférences	H	neutral	manage your preferences	curated	mt-edited	
l'offre se termine	H	neutral	sale ends	curated	mt-edited	
ne plus recevoir	H	neutral	no longer wish to receive	curated	mt-edited	
ne souhaitez plus recevoir	H	neutral	no longer wish to receive	curated	mt-edited	
offre à durée limitée	H	neutral	limited time offer	curated	mt-edited	
offre limitée dans le temps	H	neutral	limited time offer	curated	mt-edited	
préférences de communication	H	neutral	email preferences	curated	mt-edited	
préférences e-mail	H	neutral	email preferences	curated	mt-edited	
profitez-en maintenant	H	neutral	act now	curated	mt-edited	
se désabonner	H	neutral	unsubscribe	curated	mt-edited	
se désinscrire	H	neutral	unsubscribe	curated	mt-edited	
version en ligne	H	neutral	view in browser	curated	mt-edited	
voir cet e-mail dans votre navigateur	H	neutral	view this email in your browser	curated	mt-edited	
voir dans le navigateur	H	neutral	view in browser	curated	mt-edited	
vous recevez ce message car	H	neutral	you are receiving this email because	curated	mt-edited	
vous recevez cet e-mail car	H	neutral	you are receiving this email because	curated	mt-edited	
à ne pas manquer	M	neutral	don't miss out	curated	mt-edited	
acheter maintenant	M	neutral	buy now	curated	mt-edited	
cliquez ici	M	neutral	click here	curated	mt-edited	
code de réduction	M	neutral	discount code	curated	mt-edited	
code réduction	M	neutral	discount code	curated	mt-edited	
commandez maintenant	M	neutral	buy now	curated	mt-edited	
livraison gratuite	M	neutral	free shipping	curated	mt-edited	
livraison offerte	M	neutral	free shipping	curated	mt-edited	
ne manquez pas	M	neutral	don't miss out	curated	mt-edited	
offre exclusive	M	neutral	exclusive deal	curated	mt-edited	
offre spéciale	M	neutral	special offer	curated	mt-edited	
pour cent de réduction	M	neutral	percent off	curated	mt-edited	
publicité	L	neutral	advertisement	curated	mt-edited	
abonnez-vous	L	neutral	subscribe	curated	mt-edited	
annonce	L	neutral	advertisement	curated	mt-edited	
contenu sponsorisé	L	neutral	sponsored	curated	mt-edited	
lettre d'information	L	neutral	newsletter	curated	mt-edited	
promotion	L	neutral	special offer	curated	mt-edited	
s'abonner	L	neutral	subscribe	curated	mt-edited	
sponsorisé	L	neutral	sponsored	curated	mt-edited	
webinaire*	L	neutral	webinar	curated	mt-edited	
