term	tier	speaker	concept	source	review	note
ce dont on a parlé	H	actor	the thing we discussed	curated	mt-edited	
comme convenu de vive voix	H	actor	as discussed in person	curated	mt-edited	
comme discuté en personne	H	actor	as discussed in person	curated	mt-edited	
l'affaire dont on a parlé	H	actor	the thing we discussed	curated	mt-edited	
le truc dont on a parlé	H	actor	the thing we discussed	curated	mt-edited	
mot convenu	H	actor	code word	curated	mt-edited	
mot de code	H	actor	code word	curated	mt-edited	
nom de code	H	actor	code word	curated	mt-edited	
la came	M	actor	the goods	curated	mt-edited	
notre ami	M	actor	our friend	curated	mt-edited	
qui tu sais	M	actor	you know who	curated	mt-edited	
tu sais qui	M	actor	you know who	curated	mt-edited	
tu vois ce que je veux dire	M	actor	you know what i mean	curated	mt-edited	
vous voyez ce que je veux dire	M	actor	you know what i mean	curated	mt-edited	
argent facile	L	actor	free money	fca-hsbc-fx	mt-edited	
blé	L	actor	bread	dea-slang-2018	mt-edited	
comme convenu	L	actor	per our conversation	curated	mt-edited	
comme d'habitude	L	actor	the usual	curated	mt-edited	
jouer le tout pour le tout	L	actor	go for broke	fca-hsbc-fx	mt-edited	
la marchandise	L	actor	the goods	curated	mt-edited	
le colis	L	actor	the package	curated	mt-edited	
le paquet	L	actor	the package	curated	mt-edited	
le produit	L	actor	the product	curated	mt-edited	
le truc habituel	L	actor	the usual	curated	mt-edited	
oseille	L	actor	bread	dea-slang-2018	mt-edited	
suite à notre conversation	L	actor	per our conversation	curated	mt-edited	
thune*	L	actor	bread	dea-slang-2018	mt-edited	
