term	tier	speaker	concept	source	review	note
أخذ رهائن	H	accuser	taking of hostages	rome-statute	mt-edited	art. 8 2 a) viii)
إعدام الأسرى	H	accuser	kill the prisoners	curated	mt-edited	
إعدام ميداني	H	accuser	summary execution*	curated	mt-edited	
إعدامات ميدانية	H	accuser	summary execution*	curated	mt-edited	
احتجاز رهائن	H	accuser	hostage taking	curated	mt-edited	
استسلم مختارا	H	accuser	surrendered at discretion	rome-statute	mt-edited	art. 8 2 b) vi)
استهداف المدنيين	H	accuser	targeting civilians	curated	mt-edited	
استهداف المستشفيات	H	accuser	attacks on hospitals	curated	mt-edited	
استهداف عمال الإغاثة	H	accuser	attacks on aid workers	rome-statute	mt-edited	
استهداف قافلة مساعدات	H	accuser	attack on the aid convoy	rome-statute	mt-edited	
استهداف مدنيين	H	accuser	targeting civilians	curated	mt-edited	
اعدموا الأسرى	H	actor	execute the prisoners	curated	mt-edited	
الأسلحة المسممة	H	accuser	poisoned weapons	rome-statute	mt-edited	art. 8 2 b) xvii)
الأطفال المجندين	H	accuser	child soldier*	curated	mt-edited	
الإعدامات الميدانية	H	accuser	summary execution*	curated	mt-edited	definite form
الاعتداء على كرامة الشخص	H	accuser	outrages upon personal dignity	rome-statute	mt-edited	art. 8 2 b) xxi)
الاغتصاب كسلاح حرب	H	accuser	rape as a weapon of war	curated	mt-edited	
الانتهاكات الجسيمة لاتفاقيات جنيف	H	accuser	grave breach*	rome-statute	mt-edited	art. 8 2 a)
البراميل المتفجرة	H	accuser	barrel bomb*	curated	mt-edited	definite form
التجويع كسلاح حرب	H	accuser	starvation as a method of warfare	curated	mt-edited	
الجنود الأطفال	H	accuser	child soldier*	curated	mt-edited	
الدرع البشري	H	accuser	human shield*	rome-statute	mt-edited	definite form
الدروع البشرية	H	accuser	human shield*	rome-statute	mt-edited	definite form
الضربة المزدوجة	H	accuser	double tap strike*	curated	mt-edited	
العنف الجنسي المرتبط بالنزاعات	H	accuser	conflict-related sexual violence	curated	mt-edited	
الغازات الخانقة	H	accuser	asphyxiating	rome-statute	mt-edited	art. 8 2 b) xviii)
الغدر	H	accuser	perfidy	rome-statute	mt-edited	
القصف العشوائي	H	accuser	indiscriminate shelling	curated	mt-edited	definite form
المعاملة المهينة والحاطة بالكرامة	H	accuser	humiliating and degrading treatment	rome-statute	mt-edited	art. 8 2 b) xxi)
الهجمات العشوائية	H	accuser	indiscriminate attack*	curated	mt-edited	definite form
الهجوم الكيميائي	H	accuser	chemical attack*	curated	mt-edited	definite form
براميل متفجرة	H	accuser	barrel bomb*	curated	mt-edited	
برميل متفجر	H	accuser	barrel bomb*	curated	mt-edited	
بطريقة عابثة	H	accuser	wanton destruction	rome-statute	mt-edited	art. 8 2 a) iv)
تجارب بيولوجية	H	accuser	biological experiments	rome-statute	mt-edited	art. 8 2 a) ii)
تجنيد الأطفال	H	accuser	conscripting or enlisting children	rome-statute	mt-edited	art. 8 2 b) xxvi)
تجويع المدنيين	H	accuser	starvation of civilians	rome-statute	mt-edited	art. 8 2 b) xxv)
تعمد توجيه هجمات	H	accuser	intentionally directing attacks	rome-statute	mt-edited	art. 8 2 b) i)
درع بشري	H	accuser	human shield*	rome-statute	mt-edited	
دروع بشرية	H	accuser	human shield*	rome-statute	mt-edited	art. 8 2 b) xxiii)
سلاح التجويع	H	accuser	starvation as a method of warfare	curated	mt-edited	
ضرب بالكيماوي	H	accuser	chemical attack*	curated	mt-edited	
عاجزين عن القتال	H	accuser	hors de combat	rome-statute	mt-edited	art. 8 2 c)
