term	tier	speaker	concept	source	review	note
abbestellen	H	neutral	unsubscribe	curated	mt-edited	
Aktion endet	H	neutral	sale ends	curated	mt-edited	
Aktionscode*	H	neutral	promo code	curated	mt-edited	
Angebot endet	H	neutral	sale ends	curated	mt-edited	
Angebot gilt nur	H	neutral	limited time offer	curated	mt-edited	
diese E-Mail im Browser anzeigen	H	neutral	view this email in your browser	curated	mt-edited	
E-Mail-Einstellungen	H	neutral	email preferences	curated	mt-edited	
Einstellungen verwalten	H	neutral	manage your preferences	curated	mt-edited	
Gutscheincode*	H	neutral	promo code	curated	mt-edited	
handeln Sie jetzt	H	neutral	act now	curated	mt-edited	
Ihre Präferenzen verwalten	H	neutral	manage your preferences	curated	mt-edited	
im Browser ansehen	H	neutral	view in browser	curated	mt-edited	
im Browser anzeigen	H	neutral	view in browser	curated	mt-edited	
jetzt handeln	H	neutral	act now	curated	mt-edited	
jetzt zugreifen	H	neutral	act now	curated	mt-edited	
keine weiteren E-Mails	H	neutral	no longer wish to receive	curated	mt-edited	
Newsletter abbestellen	H	neutral	unsubscribe	curated	mt-edited	
nicht mehr erhalten möchten	H	neutral	no longer wish to receive	curated	mt-edited	
nur für kurze Zeit	H	neutral	limited time offer	curated	mt-edited	
nur noch bis	H	neutral	sale ends	curated	mt-edited	
Promo-Code*	H	neutral	promo code	curated	mt-edited	
Sie erhalten diese E-Mail, weil	H	neutral	you are receiving this email because	curated	mt-edited	
Sie erhalten diesen Newsletter	H	neutral	you are receiving this email because	curated	mt-edited	
Webversion*	H	neutral	view in browser	curated	mt-edited	
zeitlich begrenztes Angebot	H	neutral	limited time offer	curated	mt-edited	
abmelden	L	neutral	unsubscribe	curated	mt-edited	
exklusives Angebot	M	neutral	exclusive deal	curated	mt-edited	
hier klicken	M	neutral	click here	curated	mt-edited	
jetzt bestellen	M	neutral	buy now	curated	mt-edited	
jetzt kaufen	M	neutral	buy now	curated	mt-edited	
klicken Sie hier	M	neutral	click here	curated	mt-edited	
kostenloser Versand	M	neutral	free shipping	curated	mt-edited	
nicht verpassen	M	neutral	don't miss out	curated	mt-edited	
Prozent Rabatt	M	neutral	percent off	curated	mt-edited	
Rabattcode*	M	neutral	discount code	curated	mt-edited	
Sonderangebot*	M	neutral	special offer	curated	mt-edited	
Spezialangebot*	M	neutral	special offer	curated	mt-edited	
verpassen Sie nicht	M	neutral	don't miss out	curated	mt-edited	
versandkostenfrei	M	neutral	free shipping	curated	mt-edited	
Werbung	L	neutral	advertisement	curated	mt-edited	
Abmeldung*	L	neutral	unsubscribe	curated	mt-edited	
abonnieren	L	neutral	subscribe	curated	mt-edited	
anmelden	L	neutral	subscribe	curated	mt-edited	
Anzeige	L	neutral	advertisement	curated	mt-edited	
gesponsert	L	neutral	sponsored	curated	mt-edited	
Webinar*	L	neutral	webinar	curated	mt-edited	
Widerspruch	L	neutral	opt out	curated	mt-edited	
