term	tier	speaker	concept	source	review	note
внесудебная казнь	H	accuser	extrajudicial execution	curated	mt-edited	
внесудебные казни	H	accuser	extrajudicial execution	curated	mt-edited	
внесудебные расправы	H	accuser	extrajudicial killing	curated	mt-edited	
внесудебных казней	H	accuser	extrajudicial execution	curated	mt-edited	
другие бесчеловечные деяния	H	accuser	other inhumane acts	rome-statute	mt-edited	ст. 7 1 k)
жестокое лишение физической свободы	H	accuser	severe deprivation of physical liberty	rome-statute	mt-edited	ст. 7 1 e)
лагерь перевоспитания	H	accuser	re-education camp	curated	mt-edited	
лагеря перевоспитания	H	accuser	re-education camp	curated	mt-edited	
массовое захоронение	H	accuser	mass grave	curated	mt-edited	
массовые захоронения	H	accuser	mass grave	curated	mt-edited	
массовые изнасилования	H	accuser	mass rape	curated	mt-edited	
массовые расстрелы	H	accuser	mass execution	curated	mt-edited	
массовый расстрел	H	accuser	mass execution	curated	mt-edited	
массовых захоронений	H	accuser	mass grave	curated	mt-edited	
насильственное исчезновение	H	accuser	enforced disappearance	rome-statute	mt-edited	ст. 7 1 i)
насильственное перемещение населения	H	accuser	forcible transfer of population	rome-statute	mt-edited	ст. 7 1 d)
насильственные исчезновения	H	accuser	enforced disappearance	rome-statute	mt-edited	
насильственных исчезновений	H	accuser	enforced disappearance	rome-statute	mt-edited	
преступление апартеида	H	accuser	crime of apartheid	rome-statute	mt-edited	
принудительная беременность	H	accuser	forced pregnancy	rome-statute	mt-edited	
принудительная стерилизация	H	accuser	enforced sterilization	rome-statute	mt-edited	
против любых гражданских лиц	H	accuser	attack directed against any civilian population	rome-statute	mt-edited	ст. 7
сексуальное рабство	H	accuser	sexual slavery	rome-statute	mt-edited	
судьба и местонахождение	H	accuser	fate and whereabouts	curated	mt-edited	
фильтрационного лагеря	H	accuser	filtration camp	curated	mt-edited	
фильтрационные лагеря	H	accuser	filtration camp	curated	mt-edited	
фильтрационный лагерь	H	accuser	filtration camp	curated	mt-edited	
широкомасштабного или систематического нападения	H	accuser	widespread or systematic attack	rome-statute	mt-edited	ст. 7
широкомасштабное или систематическое нападение	H	accuser	widespread or systematic attack	rome-statute	mt-edited	
широкомасштабный и систематический	H	accuser	widespread or systematic attack	curated	mt-edited	
эскадрон смерти	H	accuser	death squad	curated	mt-edited	
эскадроны смерти	H	accuser	death squad	curated	mt-edited	
этническая чистка	H	accuser	ethnic cleansing	curated	mt-edited	
этнические чистки	H	accuser	ethnic cleansing	curated	mt-edited	
этнической чистки	H	accuser	ethnic cleansing	curated	mt-edited	
апартеид	M	accuser	apartheid	rome-statute	mt-edited	also historical and political argument
без связи с внешним миром	M	accuser	incommunicado	curated	mt-edited	
истребление	M	accuser	extermination	rome-statute	mt-edited	ст. 7 1 b)
концентрационный лагерь	M	accuser	concentration camp	curated	mt-edited	also history teaching
концлагерь	M	accuser	concentration camp	curated	mt-edited	also history teaching
концлагеря	M	accuser	concentration camp	curated	mt-edited	also history teaching
массовое убийство	M	accuser	mass killing	curated	mt-edited	
массовые убийства	M	accuser	mass killing	curated	mt-edited	
местонахождение неизвестно	M	accuser	fate and whereabouts	curated	mt-edited	also missing-person notices
насильственное перемещение	M	accuser	forcible transfer of population	curated	mt-edited	
порабощение	M	accuser	enslavement	rome-statute	mt-edited	
преступление против человечности	M	accuser	crimes against humanity	rome-statute	mt-edited	
преступлений против человечности	M	accuser	crimes against humanity	rome-statute	mt-edited	
преступления против человечности	M	accuser	crimes against humanity	rome-statute	mt-edited	also news and history
принудительное перемещение	M	accuser	forcible transfer of population	curated	mt-edited	
принудительный труд	M	accuser	forced labour	curated	mt-edited	also human-trafficking and supply-chain compliance
произвольное задержание	M	accuser	arbitrary detention	curated	mt-edited	
пытали	M	accuser	torture	curated	mt-edited	
пытк*	M	accuser	torture	rome-statute	mt-edited	also hyperbole
рабский труд	M	accuser	forced labour	curated	mt-edited	
тайная тюрьма	M	accuser	secret detention	curated	mt-edited	
тайные тюрьмы	M	accuser	secret detention	curated	mt-edited	
фильтрационные пункты	M	accuser	filtration camp	curated	mt-edited	
фильтрационный пункт	M	accuser	filtration camp	curated	mt-edited	
братская могила	L	accuser	mass grave	curated	mt-edited	also war memorials
политзаключенные	L	accuser	political prisoners	curated	mt-edited	
эксгумаци*	L	accuser	exhumation	curated	mt-edited	also forensic and cemetery routine
