term	tier	speaker	concept	source	review	note
campaña de descrédito	H	accuser	smear campaign	investigator-list	mt-edited	
campaña de desprestigio	H	accuser	smear campaign	investigator-list	mt-edited	
te arrepentirás	H	actor	you will regret	curated	mt-edited	
te vas a arrepentir	H	actor	you'll regret	curated	mt-edited	
te voy a arruinar	H	actor	ruin you	curated	mt-edited	
te voy a hundir	H	actor	ruin you	curated	mt-edited	
acos*	M	accuser	harass*	curated	mt-edited	acoso, acosar, acosador
cierra el pico	M	actor	shut up	investigator-list	mt-edited	
cállate	M	actor	shut up	investigator-list	mt-edited	
desprestigi*	M	accuser	disparag*	investigator-list	mt-edited	
insinuaciones	M	accuser	innuendo	investigator-list	mt-edited	
jódete	M	actor	screw you	curated	mt-edited	
que te jodan	M	actor	screw you	curated	mt-edited	
vete a la mierda	M	actor	piss off	curated	mt-edited	
vete al carajo	M	actor	piss off	curated	mt-edited	
cabrón	L	actor	asshole	investigator-list	mt-edited	
carajo	L	actor	fuck	investigator-list	mt-edited	
chingad*	L	actor	fuck	investigator-list	mt-edited	Mexico
coño	L	actor	fuck	investigator-list	mt-edited	Spain
gilipollas	L	actor	asshole	investigator-list	mt-edited	Spain
hijo de puta	L	actor	asshole	investigator-list	mt-edited	
joder	L	actor	fuck	investigator-list	mt-edited	
manchar su reputación	L	accuser	smear	investigator-list	mt-edited	
mierda	L	actor	shit	investigator-list	mt-edited	
no te metas con	L	actor	don't mess with	fca-hsbc-fx	mt-edited	FX
pendejo	L	actor	asshole	investigator-list	mt-edited	
tonterías	L	actor	bullshit	curated	mt-edited	
