term	tier	speaker	concept	source	review	note
ألغ الاشتراك	H	neutral	unsubscribe	curated	mt-edited	
إدارة تفضيلاتك	H	neutral	manage your preferences	curated	mt-edited	
إذا كنت لا ترغب في تلقي	H	neutral	no longer wish to receive	curated	mt-edited	
إلغاء الاشتراك	H	neutral	unsubscribe	curated	mt-edited	
اعرض هذه الرسالة في متصفحك	H	neutral	view this email in your browser	curated	mt-edited	
بادر الآن	H	neutral	act now	curated	mt-edited	
تتلقى هذه الرسالة لأنك	H	neutral	you are receiving this email because	curated	mt-edited	
تفضيلات البريد الإلكتروني	H	neutral	email preferences	curated	mt-edited	
رمز ترويجي	H	neutral	promo code	curated	mt-edited	
عرض في المتصفح	H	neutral	view in browser	curated	mt-edited	
عرض لفترة محدودة	H	neutral	limited time offer	curated	mt-edited	
لم تعد ترغب في تلقي	H	neutral	no longer wish to receive	curated	mt-edited	
ينتهي العرض	H	neutral	sale ends	curated	mt-edited	
اشتر الآن	M	neutral	buy now	curated	mt-edited	
اضغط هنا	M	neutral	click here	curated	mt-edited	
اطلب الآن	M	neutral	buy now	curated	mt-edited	
انقر هنا	M	neutral	click here	curated	mt-edited	
توصيل مجاني	M	neutral	free shipping	curated	mt-edited	
خصم بنسبة	M	neutral	percent off	curated	mt-edited	
خصم يصل إلى	M	neutral	percent off	curated	mt-edited	
شحن مجاني	M	neutral	free shipping	curated	mt-edited	
عرض حصري	M	neutral	exclusive deal	curated	mt-edited	
عرض خاص	M	neutral	special offer	curated	mt-edited	
كوبون خصم	M	neutral	discount code	curated	mt-edited	
كود الخصم	M	neutral	discount code	curated	mt-edited	
لا تفوت	M	neutral	don't miss out	curated	mt-edited	
لا تفوتوا	M	neutral	don't miss out	curated	mt-edited	
إعلان	L	neutral	advertisement	curated	mt-edited	
اشترك	L	neutral	subscribe	curated	mt-edited	
النشرة الإخبارية	L	neutral	newsletter	curated	mt-edited	
برعاية	L	neutral	sponsored	curated	mt-edited	
ندوة عبر الإنترنت	L	neutral	webinar	curated	mt-edited	
ويبينار	L	neutral	webinar	curated	mt-edited	
