term	tier	speaker	concept	source	review	note
mabrook kesebt	H	actor	you have won	curated	mt-edited	Arabizi, Egyptian
mabrouk kesbt	H	actor	you have won	curated	mt-edited	Arabizi, Egyptian
أرباح مضمونة	H	actor	guaranteed returns	curated	mt-edited	
أرملة الراحل	H	actor	wife of the late	spamassassin-advance-fee	mt-edited	419
أموال غير مطالب بها	H	actor	unclaimed funds	curated	mt-edited	
إشعار الجائزة	H	actor	winning notification	curated	mt-edited	
إشعار بالفوز	H	actor	award notification	spamassassin-advance-fee	mt-edited	419
ابن الراحل	H	actor	son of the late	spamassassin-advance-fee	mt-edited	419
استلم جائزتك	H	actor	claim your prize	curated	mt-edited	
اقتراح عمل سري	H	actor	confidential business proposal	curated	mt-edited	
الرئيس الراحل	H	actor	the late president	spamassassin-advance-fee	mt-edited	419
المطالبة بالمبلغ	H	actor	claim the money	spamassassin-advance-fee	mt-edited	419
بطاقة آيتونز	H	actor	itunes card	curated	mt-edited	
تأمين الأموال	H	actor	secure the funds	spamassassin-advance-fee	mt-edited	419
تحقق من حسابك	H	actor	verify your account	curated	mt-edited	
تعاون أمين	H	actor	honest cooperation	spamassassin-advance-fee	mt-edited	419
تم إيقاف حسابك	H	actor	your account has been suspended	curated	mt-edited	
تم تعليق حسابك	H	actor	your account has been suspended	curated	mt-edited	
حسابك موقوف	H	actor	your account has been suspended	curated	mt-edited	
حقيبة دبلوماسية	H	actor	diplomatic courier	curated	mt-edited	
دفع رسوم مقدما	H	actor	advance fee	curated	mt-edited	
رسوم التخليص	H	actor	clearance fee	curated	mt-edited	
رسوم مقدمة	H	actor	advance fee	curated	mt-edited	
زوجة الراحل	H	actor	wife of the late	spamassassin-advance-fee	mt-edited	419
ساعي دبلوماسي	H	actor	diplomatic courier	curated	mt-edited	
شريك أعمال أجنبي	H	actor	foreign business partner	spamassassin-advance-fee	mt-edited	419
صراف عملات رقمية	H	actor	virtual currency kiosk	fincen-pig-butchering	mt-edited	pig butchering
صفقة دبلوماسية	H	actor	diplomatic transaction	spamassassin-advance-fee	mt-edited	419
صندوق أمانات	H	actor	consignment box	curated	mt-edited	
صندوق التعويضات	H	actor	compensation fund	curated	mt-edited	
ضاعف استثمارك	H	actor	double your investment	curated	mt-edited	
عائد مضمون	H	actor	guaranteed returns	curated	mt-edited	
عاجل وسري	H	actor	urgent and confidential	spamassassin-advance-fee	mt-edited	419
عزيزي المستفيد	H	actor	dear beneficiary	curated	mt-edited	
قريب بعيد	H	actor	extended relative	spamassassin-advance-fee	mt-edited	419
قم بتحديث بياناتك	H	actor	verify your account	curated	mt-edited	
لقد ربحت	H	actor	you have won	curated	mt-edited	
لقد فزت	H	actor	you have won	curated	mt-edited	
مبروك ربحت	H	actor	you have won	curated	mt-edited	
مبروك كسبت	H	actor	you have won	curated	mt-edited	Egyptian
مليون دولار أمريكي	H	actor	million united states dollars	spamassassin-advance-fee	mt-edited	419
منسق اليانصيب	H	actor	lottery coordinator	spamassassin-advance-fee	mt-edited	419
نجل الراحل	H	actor	son of the late	spamassassin-advance-fee	mt-edited	419
نظام القرعة الإلكتروني	H	actor	computer ballot system	spamassassin-advance-fee	mt-edited	419
وكيل مؤتمن	H	actor	fiduciary agent	spamassassin-advance-fee	mt-edited	419
ab3at el code	M	actor	send the code	curated	mt-edited	Arabizi
ib3atli el code	M	actor	send the code	curated	mt-edited	Arabizi
آمن مئة بالمئة	M	actor	100% safe	spamassassin-advance-fee	mt-edited	419
أتواصل معك	M	actor	i am contacting you	spamassassin-advance-fee	mt-edited	419
أرسل الرمز	M	actor	send the code	curated	mt-edited	
أقرب الأقارب	M	actor	next of kin	curated	mt-edited	
أمر اعتقال	M	actor	arrest warrant	curated	mt-edited	
أمر ضبط وإحضار	M	actor	arrest warrant	curated	mt-edited	
أنا أرملة	M	actor	i am a widow	curated	mt-edited	
ابعت الكود	M	actor	send the code	curated	mt-edited	Egyptian
ابعتلي الكود	M	actor	send the code	curated	mt-edited	Egyptian
المبلغ الإجمالي	M	actor	the total sum	spamassassin-advance-fee	mt-edited	419
بدون مخاطرة	M	actor	risk free	spamassassin-advance-fee	mt-edited	419
بصفتك المستفيد	M	actor	as the beneficiary	spamassassin-advance-fee	mt-edited	419
بطاقة صراف	M	actor	atm card	curated	mt-edited	
بطاقة هدايا	M	actor	gift card	curated	mt-edited	
حساب أجنبي	M	actor	foreign account	spamassassin-advance-fee	mt-edited	419
حساب خارجي	M	actor	off-shore account	spamassassin-advance-fee	mt-edited	419
خالي من المخاطر	M	actor	free of risk	spamassassin-advance-fee	mt-edited	419
دزلي الكود	M	actor	send the code	curated	mt-edited	Iraqi and Gulf
رد عاجل	M	actor	urgent response	curated	mt-edited	
رسوم السحب	M	actor	withdrawal fees	fincen-pig-butchering	mt-edited	pig butchering
رسوم المعالجة	M	actor	processing fee	curated	mt-edited	
سري للغاية	M	actor	strictly confidential	curated	mt-edited	
شريك صامت	M	actor	silent partner	spamassassin-advance-fee	mt-edited	419
صديقي العزيز	M	actor	dear friend	curated	mt-edited	
عوائد كبيرة	M	actor	significant returns	fincen-pig-butchering	mt-edited	pig butchering
فرصة استثمارية	M	actor	investment opportunity	fincen-pig-butchering	mt-edited	pig butchering
في مهمة خارج البلاد	M	actor	deployed overseas	curated	mt-edited	
محامي خاص	M	actor	private lawyer	spamassassin-advance-fee	mt-edited	419
مساعدة عاجلة	M	actor	urgent assistance	spamassassin-advance-fee	mt-edited	419
مستندات مهمة	M	actor	vital documents	spamassassin-advance-fee	mt-edited	419
مضمون مية في المية	M	actor	100% safe	spamassassin-advance-fee	mt-edited	419, Egyptian
يانصيب	M	actor	lottery	curated	mt-edited	
البنك المركزي	L	actor	central bank of	spamassassin-advance-fee	mt-edited	419
الترتيبات	L	actor	modalities	spamassassin-advance-fee	mt-edited	419
برجاء	L	actor	kindly	curated	mt-edited	
رقم غلط	L	actor	wrong number	fincen-pig-butchering	mt-edited	pig butchering opener
شريك تجاري	L	actor	business partner	spamassassin-advance-fee	mt-edited	419
صديق قديم	L	actor	old friend	fincen-pig-butchering	mt-edited	
صرف المبلغ	L	actor	disbursement	spamassassin-advance-fee	mt-edited	419
عنوان المحفظة	L	actor	wallet address	curated	mt-edited	
مدير أموال	L	actor	money manager	fincen-pig-butchering	mt-edited	
موقع تعارف	L	actor	dating site	fincen-pig-butchering	mt-edited	
ميراث	L	actor	inheritance	curated	mt-edited	
