term	tier	speaker	concept	source	review	note
arbitrage CCI	H	neutral	icc arbitration	curated	mt-edited	
attribution exclusive de juridiction	H	neutral	exclusive jurisdiction	curated	mt-edited	
CNUDCI	H	neutral	uncitral	curated	mt-edited	
compétence exclusive	H	neutral	exclusive jurisdiction	curated	mt-edited	
compétence exclusive aux tribunaux de	H	neutral	exclusive jurisdiction of the courts of	curated	mt-edited	
compétence non exclusive	H	neutral	non-exclusive jurisdiction	curated	mt-edited	
Cour internationale d'arbitrage	H	neutral	icc arbitration	curated	mt-edited	
droit anglais	H	neutral	laws of england and wales	curated	mt-edited	
droit applicable	H	neutral	governing law	curated	mt-edited	
droit d'Angleterre et du Pays de Galles	H	neutral	laws of england and wales	curated	mt-edited	
droit de l'État de	H	neutral	laws of the state of	curated	mt-edited	
est régi par le droit	H	neutral	governed by the laws of	curated	mt-edited	
loi applicable	H	neutral	governing law	curated	mt-edited	
régi par le droit	H	neutral	governed by the laws of	curated	mt-edited	
règlement MAR	H	neutral	market abuse regulation	global-relay-surveillance	mt-edited	
règlement sur les abus de marché	H	neutral	market abuse regulation	global-relay-surveillance	mt-edited	
se soumettent à la compétence	H	neutral	submit to the jurisdiction	curated	mt-edited	
se soumettre à la juridiction	H	neutral	submit to the jurisdiction	curated	mt-edited	
seuls compétents les tribunaux de	H	neutral	exclusive jurisdiction of the courts of	curated	mt-edited	
siège de l'arbitrage	H	neutral	seat of arbitration	curated	mt-edited	
soumis au droit	H	neutral	governed by the laws of	curated	mt-edited	
CIRDI	M	neutral	icsid	curated	mt-edited	
cour d'appel	M	neutral	court of appeal	curated	mt-edited	
Cour de cassation	M	neutral	supreme court	curated	mt-edited	
Cour suprême	M	neutral	supreme court	curated	mt-edited	
Delaware	M	neutral	state of delaware	curated	mt-edited	
droit de l'État de New York	M	neutral	new york law	curated	mt-edited	
droit new-yorkais	M	neutral	new york law	curated	mt-edited	
droit suisse	M	neutral	swiss law	curated	mt-edited	
État du Delaware	M	neutral	state of delaware	curated	mt-edited	
Haute Cour	M	neutral	high court	curated	mt-edited	
îles Caïman	M	neutral	cayman islands	curated	mt-edited	
îles Caïmans	M	neutral	cayman islands	curated	mt-edited	
îles Vierges britanniques	M	neutral	british virgin islands	curated	mt-edited	
tribunal de grande instance	M	neutral	district court	curated	mt-edited	
tribunal judiciaire	M	neutral	district court	curated	mt-edited	
lieu de juridiction	L	neutral	venue	curated	mt-edited	
tribunaux de	L	neutral	courts of	curated	mt-edited	
