term	tier	speaker	concept	source	review	note
convergence of will	H	neutral	convergence of will	mou-definition	original	
does not create legally binding obligations	H	neutral	does not create legally binding obligations	curated	original	
heads of agreement	H	neutral	heads of agreement	curated	original	
heads of terms	H	neutral	heads of terms	curated	original	
intended common line of action	H	neutral	intended common line of action	mou-definition	original	
legally non-binding	H	neutral	legally non-binding	mou-definition	original	
letter of comfort	H	neutral	letter of comfort	mou-definition	original	
letter of intent	H	neutral	letter of intent	curated	original	
letter of understanding	H	neutral	letter of understanding	mou-definition	original	
memorandum of understanding	H	neutral	memorandum of understanding	curated	original	
not legally binding	H	neutral	not legally binding	curated	original	
shall not create any legally binding	H	neutral	shall not create any legally binding	curated	original	
subject to contract	H	neutral	subject to contract	curated	original	
the parties intend	H	neutral	the parties intend	curated	original	
cooperation agreement	M	neutral	cooperation agreement	curated	original	
expression of interest	M	neutral	expression of interest	curated	original	
framework agreement	M	neutral	framework agreement	curated	original	
gentlemen's agreement	M	neutral	gentlemen's agreement	mou-definition	original	
mou	M	neutral	mou	curated	original	
non-binding	M	neutral	non-binding	curated	original	
term sheet	M	neutral	term sheet	curated	original	
in principle	L	neutral	in principle	curated	original	
will endeavour	L	neutral	will endeavour	curated	original	
